group,id,name,slug,articles,note,articles_sample
武士傳說,cmswuudth000r04l414yq18mo,武士傳說,武士傳說,5,,"軟體世界 14 p.10 武士傳說 / 軟體世界 15 p.18 我看克萊恩英豪,武士傳說和創世紀VI / 軟體世界 22 p.38 武士傳說完全攻略(上) …共 5 篇"
武士傳說,cmsx2xzwy00da04ldf75pymc0,武士傳說 (Bushido Blade),武士傳說-bushido-blade,1,Bushido Blade,軟體世界 17 p.64 武士傳說人物屬性修改法
武士傳說,cmsyrzhmr002504jxrl32wbto,武士傳說 (The Warrior's Blade),武士傳說-the-warrior-s-blade,1,The Warrior's Blade,軟體世界 31 p.52 武士傳說物品 & 武器修改法
死亡潛航ii,cmsyew086002a04l14umhidif,死亡潛航 II,死亡潛航-ii,2,,軟體世界 29 p.100 死亡潛航 II—潛艇資料修改大全 / 軟體世界 24 p.80 死亡潛航 II—BBH艦遭遇記
死亡潛航ii,cmsyrzhod002h04jx3zcbjfz9,死亡潛航 II (Submarine Titan II),死亡潛航-ii-submarine-titan-ii,1,Submarine Titan II,軟體世界 31 p.54 死亡潛航 II 一魚雷精準命中
死亡潛航ii,cmt1hzs9l002s04ld75z9h3m5,死亡潛航II,死亡潛航ii,1,,軟體世界 35 p.36 死亡潛航II－一反死潛必勝戰術
蝙蝠俠電影版,cmsyqnps3004g04i5co9lv7xy,蝙蝠俠·電影版,蝙蝠俠-電影版-2,1,,軟體世界 29 p.99 蝙蝠俠·電影版小祕技
蝙蝠俠電影版,cmsybv6lc00bu04l2onc3d5jb,蝙蝠俠·電影版 (Batman),蝙蝠俠-電影版-batman,1,Batman,軟體世界 23 p.60 蝙蝠俠·電影版
蝙蝠俠電影版,cmsyevzw4000104l11vw046rv,蝙蝠俠。電影版,蝙蝠俠-電影版,2,,軟體世界 24 p.1 蝙蝠俠。電影版 / 軟體世界 24 p.43 蝙蝠俠攻略
飛越杜鵑窩,cmsyqgoti00bp04jnlvg7m0j3,飛越杜鵑窩,飛越杜鵑窩,3,,軟體世界 29 p.49 飛越杜鵑窩完全攻略二 / 軟體世界 28 p.49 飛越杜鵑窩完全攻略 (一) / 軟體世界 30 p.47 飛越杜鵑窩偷法
飛越杜鵑窩,cmsybok4t005r04l20p1a10vs,飛越杜鵑窩 (Count Down),飛越杜鵑窩-count-down,2,Count Down,軟體世界 22 p.13 飛越杜鵑窩 / 軟體世界 23 p.9 飛越杜鵑窩
飛越杜鵑窩,cmsys3a3r008b04jxo5fhi9lc,飛越杜鵑窩 (One Flew Over the Cuckoo's Nest),飛越杜鵑窩-one-flew-over-the-cuckoo-s-nest,1,One Flew Over the Cuckoo's Nest,軟體世界 32 p.104 飛越杜鵑窩一時光倒流
f15ii,cmsvuqx3n002h04leng1p4k7a,F-15 II,f-15-ii,1,,軟體世界 10 p.46 F-15 II 評論
f15ii,cmswq0tgv008a04l6talfsvx3,F-15II,f-15ii,2,,軟體世界 12 p.56 F-15II拜將封侯篇 / 軟體世界 13 p.67 F-15II將帥價篇更正
f29復仇者隱形戰鬥機,cmsyrh7nb000f04lfuh4op4oc,F-29 復仇者隱形戰鬥機,f-29-復仇者隱形戰鬥機,2,,軟體世界 30 p.31 烏茲衝鋒槍解藥 / 軟體世界 30 p.39 F-29 復仇者隱形戰鬥機
f29復仇者隱形戰鬥機,cmsyq9fm3003u04jn0jhrvwl6,F-29復仇者隱形戰鬥機,f-29復仇者隱形戰鬥機,1,,軟體世界 27 p.12 F-29復仇者隱形戰鬥機(F-29 RETALIATOR)
simcity,cmsvud7tt000l04l6zyg2uajr,SIM CITY,sim-city,1,,軟體世界 9 p.8 模擬城市
simcity,cmsxqcbxk007x04l414fm7ej8,SimCity,simcity,1,,軟體世界 19 p.72 模擬城市
u式海狼潛艇,cmsylqo9u001j04jilgycy9ko,U式海狼潛艇,u式海狼潛艇,2,,軟體世界 27 p.100 U式海狼潛艇魚雷無限 / 軟體世界 25 p.19 U式海狼潛艇
u式海狼潛艇,cmsybok52005u04l24zxy456e,U式海狼潛艇 (Das Boot),u式海狼潛艇-das-boot,2,Das Boot,軟體世界 22 p.14 U式海狼潛艇 / 軟體世界 23 p.10 U式海狼潛艇
三國演義,cmsylqohs003f04jih81zn4j0,三國演義,三國演義,17,,軟體世界 29 p.24 三國演義—兒子兵法 / 軟體世界 29 p.82 三國演義—與狼共舞 / 軟體世界 29 p.86 三國演義徵文選輯 …共 17 篇
三國演義,cmsys3a2u008304jxt4er19en,三國演義 (Romance of the Three Kingdoms),三國演義-romance-of-the-three-kingdoms,2,Romance of the Three Kingdoms,軟體世界 32 p.100 三國演義修改篇 / 軟體世界 32 p.105 三國演義修改工具程式（一）
上帝也抓狂,cmsylqofo002v04ji3rzmuv8f,上帝也抓狂,上帝也抓狂,4,,軟體世界 25 p.91 上帝也抓狂戰場名稱集(下) / 軟體世界 28 p.44 上帝也抓狂 / 軟體世界 117 p.1 上帝也抓狂 …共 4 篇
上帝也抓狂,cmsybv6uw00e504l2xgxbzjpm,上帝也抓狂 (Godspeed),上帝也抓狂-godspeed,1,Godspeed,軟體世界 23 p.94 上帝也抓狂戰場名稱集(上)
上海ii,cmsybv6gm00ap04l20jv7su69,上海 II (Shang Hai II),上海-ii-shang-hai-ii,1,Shang Hai II,軟體世界 23 p.16 上海 II
上海ii,cmsybok4b005m04l2dffqypg0,上海II (Shanghai II),上海ii-shanghai-ii,1,Shanghai II,軟體世界 22 p.12 上海II
人生劇場,cmsybok5x006304l2ckzrkfhp,人生劇場,人生劇場,3,,軟體世界 27 p.90 用單色、CGA螢幕及360K軟碟玩人生劇場 / 軟體世界 22 p.17 人生劇場 / 軟體世界 26 p.44 人生劇場速成要訣
人生劇場,cmsybok2z005804l2izsbn895,人生劇場 (Jones in the Fast Lane),人生劇場-jones-in-the-fast-lane,1,Jones in the Fast Lane,軟體世界 22 p.8 人生劇場
仙境故事,cmsvpx5a2001204ldnpuy40rs,仙境故事,仙境故事,3,,軟體世界 8 p.9 仙境故事 / 軟體世界 10 p.36 仙境故事提示篇 - 仙境傳言 / 軟體世界 13 p.46 仙境故事完全攻略
仙境故事,cmsx2xzxe00de04ld2yex9o5k,仙境故事 (Wonder Boy),仙境故事-wonder-boy,1,Wonder Boy,軟體世界 17 p.65 仙境故事資料檔修改法
俠盜羅賓漢,cmt1hzs30001204ldn9rgo25t,俠盜羅賓漢,俠盜羅賓漢,8,,軟體世界 35 p.12 俠盜羅賓漢 / 軟體世界 36 p.6 俠盜羅賓漢 / 軟體世界 37 p.76 俠盜羅賓漢完全攻略(一) …共 8 篇
俠盜羅賓漢,cmsyrh878004k04lfbi4832xu,俠盜羅賓漢 (Conquests of the Longbow Legend of Robin Hood),俠盜羅賓漢-conquests-of-the-longbow-legend-of-robin-hood,1,Conquests of the Longbow Legend of Robin Hood,軟體世界 30 p.16 俠盜羅賓漢 (Conquests of the Longbow Legend of Robin Hood)
克萊恩英豪,cmswqdm3r00aw04l6jocp2bsw,克萊恩英豪,克萊恩英豪,4,,"軟體世界 13 p.6 克萊恩英豪 / 軟體世界 13 p.72 克萊恩英豪 / 軟體世界 15 p.18 我看克萊恩英豪,武士傳說和創世紀VI …共 4 篇"
克萊恩英豪,cmsx2xzu800cm04ldl52ipdg1,克萊恩英豪 (Klonoa),克萊恩英豪-klonoa,1,Klonoa,軟體世界 17 p.46 克萊恩英豪攻略(二)
凱撒大帝,cmsxqa32z001404l4ohasw8v0,凱撒大帝,凱撒大帝,5,,軟體世界 18 p.19 凱撒大帝 / 軟體世界 21 凱撒大帝一指揮官和屬地資料 / 軟體世界 21 p.86 凱撒大帝技巧提示 …共 5 篇
凱撒大帝,cmsx2xzpo00bi04lddlfgypxc,凱撒大帝 (CENTURION: Defender of Rome),凱撒大帝-centurion-defender-of-rome,1,CENTURION: Defender of Rome,軟體世界 17 p.14 凱撒大帝
出擊飛龍,cmswuudqe000704l4vq33r8zu,出擊飛龍,出擊飛龍,3,,軟體世界 27 p.92 出擊飛龍鍵盤修改 / 軟體世界 14 p.5 出擊飛龍 / 軟體世界 18 p.66 出擊飛龍無敵版
出擊飛龍,cmsx2xzry00c204ldbpwck1mf,出擊飛龍 (Final Fight),出擊飛龍-final-fight,1,Final Fight,軟體世界 17 p.26 出擊飛龍完全攻略地圖
創世紀iiii典藏版,cmt9n7n0200a604jmyokmjkt8,創世紀 I～III 典藏版 (Ultima Trilogy),創世紀-i-iii-典藏版-ultima-trilogy,1,Ultima Trilogy,軟體世界 41 p.10 創世紀 I～III 典藏版
創世紀iiii典藏版,cmt9n4wj2005704jmahqyws9s,創世紀I～III典藏版,創世紀i-iii典藏版,1,,軟體世界 40 p.14 創世紀I～III典藏版
創世紀vi,cmsybi8kg002k04l2pzajqzgs,創世紀 VI,創世紀-vi,3,,軟體世界 21 p.50 創世紀 VI 攻略（二） / 軟體世界 30 p.79 創世紀 VI 超快攻略&攻略補遺 / 軟體世界 33 p.39 創世紀 VI 秘密指令
創世紀vi,cmswuudra000d04l4e3hmyz33,創世紀VI,創世紀vi,25,,軟體世界 27 p.87 創世紀VI補充說明 / 軟體世界 14 p.6 創世紀VI / 軟體世界 14 p.18 創世紀VI在燒 …共 25 篇
創世紀vii,cmsysz3d8007x04joasq8vtmr,創世紀 VII,創世紀-vii,5,,電腦玩家 創刊驚嘆號 p.43 創世紀 VII 最新報導 / 軟體世界 39 p.88 遊戲獵人 / 軟體世界 45 p.28 創世紀7人物屬性修改法 …共 5 篇
創世紀vii,cmt1mj8xr003c04jui9uwf3jq,創世紀VII,創世紀vii,1,,軟體世界 36 p.87 創世紀VII創作訪談
北與南,cmswq0tbg006v04l63vkc2e6x,北與南,北與南,2,,軟體世界 12 p.8 北與南 / 軟體世界 116 p.81 NEW GAMES STATION
北與南,cmsvv0lqf001j04jrny4ob3hr,北與南 (North & South),北與南-north-south,1,North & South,軟體世界 11 p.92 北與南 NORTH & SOUTH
古堡禁地,cmt03mnhi001v04l5f5pl0795,古堡禁地,古堡禁地,3,,軟體世界 34 p.28 古堡禁地屬性修改法 / 軟體世界 37 p.26 古堡禁地偷懶法 / 電腦玩家 4 p.60 古堡禁地
古堡禁地,cmsyrh82o003n04lfg7msltkg,古堡禁地 (ELVIRA),古堡禁地-elvira,1,ELVIRA,軟體世界 30 p.9 古堡禁地 (ELVIRA)
噴射戰鬥機,cmsvuqwrq000b04le7webqcad,噴射戰鬥機,噴射戰鬥機,7,,軟體世界 10 p.8 噴射戰鬥機 JET FIGHTER / 軟體世界 13 p.66 噴射戰鬥機 / 軟體世界 14 p.26 漫談噴射戰鬥機 …共 7 篇
噴射戰鬥機,cmsx2xzxu00di04ldb53x7dps,噴射戰鬥機 (Jet Fighter),噴射戰鬥機-jet-fighter,1,Jet Fighter,軟體世界 17 p.66 噴射戰鬥機—巡曳飛彈剋星
四川省,cmswqdm6j00bg04l6o9xqfsg0,四川省,四川省,5,,軟體世界 13 p.14 四川省幼子激編 / 軟體世界 13 p.17 一個改寫休閒軟體歷史的遊戲 / 軟體世界 18 p.70 用滑鼠玩四川省 …共 5 篇
四川省,cmsx2xzwi00d604ldud5yke7v,四川省 (Sichuan),四川省-sichuan,1,Sichuan,軟體世界 17 p.64 四川省續關法
國王傳奇,cmsvn61nv000704l8jfluueee,國王傳奇,國王傳奇,5,,軟體世界 試刊號 p.2 國王傳奇 / 軟體世界 試刊號 p.24 國王傳奇金錢與寶物修改法 / 軟體世界 4 p.14 國王傳奇 …共 5 篇
國王傳奇,cmsx2xzta00ce04ldquk0z1w3,國王傳奇 (King's Field),國王傳奇-king-s-field,1,King's Field,軟體世界 17 p.37 國王傳奇攻略(下)
地心探險,cmsvomi78003h04jpksglqeer,地心探險,地心探險,1,,軟體世界 6 p.8 地心探險
地心探險,cmsvv0lm2000s04jrl54jvjs2,地心探險 (Tank Platoon),地心探險-tank-platoon,1,Tank Platoon,軟體世界 11 p.62 地心探險攻略指引
夜班玩具廠,cmsybok68006604l2u624qe7g,夜班玩具廠,夜班玩具廠,2,,軟體世界 22 p.18 夜班玩具廠 / 軟體世界 26 p.91 夜班玩具廠各關密碼大公開
夜班玩具廠,cmsybok1n004x04l2c78vwqra,夜班玩具廠 (Night Shift),夜班玩具廠-night-shift,1,Night Shift,軟體世界 22 p.4 夜班玩具廠
天際寒星義無反顧,cmt9n4wjz005e04jmtschbw37,天際寒星——義無反顧,天際寒星-義無反顧,1,,軟體世界 40 p.15 天際寒星——義無反顧
天際寒星義無反顧,cmt9n7mzk00a104jm4qt70gx9,天際寒星—義無反顧 (Planet's Edge),天際寒星-義無反顧-planet-s-edge,2,Planet's Edge,軟體世界 41 p.8 天際寒星—義無反顧 / 軟體世界 41 p.59 天際寒星—義無反顧
太平洋空戰英雄,cmt9rt6f3000m04jsn35mpmks,太平洋空戰英雄,太平洋空戰英雄,5,,軟體世界 42 p.11 太平洋空戰英雄 / 軟體世界 42 p.36 太平洋空戰英雄 / 軟體世界 42 p.77 太平洋空戰英雄 …共 5 篇
太平洋空戰英雄,cmt9n7n3m00at04jmsnvlbofm,太平洋空戰英雄 (Aces of the Pacific),太平洋空戰英雄-aces-of-the-pacific,1,Aces of the Pacific,軟體世界 41 p.15 太平洋空戰英雄
好夢連床,cmsybv6te00ds04l236serlue,好夢連床,好夢連床,1,,軟體世界 23 p.92 好夢連床人數修改法
好夢連床,cmsx2xzm200aq04ld51hjym86,好夢連床 (Weird Dreams),好夢連床-weird-dreams,2,Weird Dreams,軟體世界 17 p.4 好夢連床 / 軟體世界 17 p.20 好夢連床
宇宙傳奇iii,cmsvoexnr006404l81fwblk57,宇宙傳奇 III,宇宙傳奇-iii,2,,軟體世界 4 p.15 專訪宇宙傳奇 III / 軟體世界 4 p.50 宇宙傳奇 III 完全攻略(下)
宇宙傳奇iii,cmsvo5yr5003504l8mbthoizs,宇宙傳奇Ⅲ,宇宙傳奇iii,1,,軟體世界 3 p.41 宇宙傳奇Ⅲ完全攻略(上)
小蜜蜂88,cmsumllbx008i04joa0o6y3sl,小蜜蜂'88,小蜜蜂-88,1,,星際遊樂雜誌 3 秘技大地
小蜜蜂88,cmsumhmql000m04joogofhhrd,小蜜蜂88,小蜜蜂88,1,,星際遊樂雜誌 2 p.32 小蜜蜂88 幻想空間
強棒再出擊,cmsvn61sy001f04l8ixm9ut1z,強棒再出擊,強棒再出擊,2,,軟體世界 試刊號 p.8 強棒再出擊 / 軟體世界 14 p.45 強棒再出擊
強棒再出擊,cmsx2xzst00ca04ld8quqobr6,強棒再出擊 (Bases Loaded),強棒再出擊-bases-loaded,1,Bases Loaded,軟體世界 17 p.32 強棒再出擊—向總冠軍之路邁進
復國恩仇錄,cmtb4t95x000o04l7ghicrg9b,復國恩仇錄,復國恩仇錄,1,,電腦玩家 5 p.21 復國恩仇錄
復國恩仇錄,cmsyrh81h003d04lfb55qkmkh,復國恩仇錄 (IRON LORD),復國恩仇錄-iron-lord,1,IRON LORD,軟體世界 30 p.7 復國恩仇錄 (IRON LORD)
忍者龜,cmsylwh2k007v04jih7g0kvfh,忍者龜,忍者龜,3,,軟體世界 26 p.87 忍者龜跳躍技巧 / 軟體世界 28 p.83 忍者龜突破炸彈河 / 軟體世界 191 p.64 酷品報到
忍者龜,cmsx2xzmr00au04ldt7p1wz13,忍者龜 (Teenage Mutant Ninja Turtles),忍者龜-teenage-mutant-ninja-turtles,2,Teenage Mutant Ninja Turtles,軟體世界 17 p.6 忍者龜 / 軟體世界 22 p.99 忍者龜無敵版
快打旋風,cmsvn61qd000r04l8upsvd9gt,快打旋風,快打旋風,3,,軟體世界 試刊號 p.5 快打旋風 / 軟體世界 創刊號 p.14 快打旋風快速過關法 / GP大賽車一步登上 / 軟體世界 2 p.21 快打旋風必殺定身術
快打旋風,cmsvv0lvk002m04jrnf5yoosh,快打旋風 (Street Fighter),快打旋風-street-fighter,1,Street Fighter,軟體世界 11 p.128 時空戰士無敵版
快樂泡泡龍,cmswqdm5400b404l6jme796bb,快樂泡泡龍,快樂泡泡龍,1,,軟體世界 13 p.10 快樂泡泡龍
快樂泡泡龍,cmsx2xzya00dm04ld9q2s2v9t,快樂泡泡龍 (Bubble Bobble),快樂泡泡龍-bubble-bobble,1,Bubble Bobble,軟體世界 17 p.68 快樂泡泡龍隻數無限
拯救地球,cmsybi8a9000d04l291em15xc,拯救地球,拯救地球,5,,軟體世界 21 p.6 拯救地球 / 軟體世界 24 p.32 我玩拯救地球 / 軟體世界 33 p.77 拯救地球完全攻略(四) …共 5 篇
拯救地球,cmsys39yl007204jx6bhr9m19,拯救地球 (Earth 2149),拯救地球-earth-2149,1,Earth 2149,軟體世界 32 p.69 拯救地球完全攻略（三）
新a10坦克殺手,cmsyrh844003x04lfk5uom3dr,新 A-10 坦克殺手 (A-10 Tank Killer Ver 1.5),新-a-10-坦克殺手-a-10-tank-killer-ver-1-5,1,A-10 Tank Killer Ver 1.5,軟體世界 30 p.11 新 A-10 坦克殺手 (A-10 Tank Killer Ver 1.5)
新a10坦克殺手,cmsyrzhab000604jxnebula02,新A-10 坦克殺手 (A-10 Tank killer Ver 1.5),新a-10-坦克殺手-a-10-tank-killer-ver-1-5,1,A-10 Tank killer Ver 1.5,軟體世界 31 p.4 新A-10 坦克殺手
新幻想空間i,cmsyrh833003r04lfaci7bas2,新幻想空間 I (Leisure Suit Larry in the Land of the Lounge Lizards),新幻想空間-i-leisure-suit-larry-in-the-land-of-the-lounge-lizards,3,Leisure Suit Larry in the Land of the Lounge Lizards,軟體世界 30 p.10 新幻想空間 I (Leisure Suit Larry in the Land of the Lounge Lizards) / 軟體世界 31 p.7 新幻想空間 I / 軟體世界 31 p.58 新幻想空間 I 特別報導
新幻想空間i,cmta06ag5003o04jr20z91res,新幻想空間I,新幻想空間i,2,,軟體世界 43 p.71 新幻想空間I簡易攻略 / 電腦玩家 4 p.70 新幻想空間I
方塊abc,cmtb7sera001704laehsdcqw5,方塊ABC,方塊abc,1,,電腦玩家 6 p.44 方塊ABC
方塊abc,cmsysv1hq000504jolv1p9wod,方塊ABC (Wordtris),方塊abc-wordtris,1,Wordtris,軟體世界 33 p.1 方塊ABC
星際密探,cmta8xkxy002l04l6ljt0cc48,星際密探,星際密探,1,,電腦玩家 2 p.18 星際密探
星際密探,cmsyrh809003104lfv9es4360,星際密探 (B.A.T.),星際密探-b-a-t,1,B.A.T.,軟體世界 30 p.4 星際密探 (B.A.T.)
暗黑傳說,cmt9rt6ej000j04jsmqtrsa2i,暗黑傳說,暗黑傳說,4,,軟體世界 42 p.10 暗黑傳說 / 軟體世界 42 p.42 暗黑傳說 / 軟體世界 42 p.92 暗黑傳說 …共 4 篇
暗黑傳說,cmt9n7n5p00bb04jmin567nxn,暗黑傳說 (Prophecy of the Shadow),暗黑傳說-prophecy-of-the-shadow,1,Prophecy of the Shadow,軟體世界 41 p.20 暗黑傳說
梅杜莎指環,cmsybv6po00cx04l2z60px9xv,梅杜莎指環,梅杜莎指環,4,,軟體世界 27 p.21 梅杜莎指環世界通商 / 軟體世界 27 p.97 梅杜莎指環 - 金錢&戒指修改法 / 軟體世界 23 p.88 梅杜莎指環後期增錢術 …共 4 篇
梅杜莎指環,cmsybokd6008c04l2jx0qqkzq,梅杜莎指環 (Medusa's Ring),梅杜莎指環-medusa-s-ring,1,Medusa's Ring,軟體世界 22 p.98 梅杜莎指環前期小技巧
模擬城市,cmsvpx56x000504ldpysay0t8,模擬城市,模擬城市,7,,軟體世界 8 p.4 模擬遊戲 / 軟體世界 9 p.8 模擬城市 / 軟體世界 9 p.52 模擬城市·市長手札 …共 7 篇
模擬城市,cmt9n7nao00cs04jm21lemtes,模擬城市 (SimCity),模擬城市-simcity,2,SimCity,軟體世界 41 p.74 遊戲精品回顧 / 軟體世界 41 p.89 模擬城市—古城風情
橋藝大師,cmt9n2of6002804jmjj9kir5c,橋藝大師,橋藝大師,2,,軟體世界 39 p.13 橋藝大師 (OMAR Sharif On Bridge) / 軟體世界 39 p.88 遊戲獵人
橋藝大師,cmt9n7n2a00ak04jmt7z0q67y,橋藝大師 (Omar Sharif On Bridge),橋藝大師-omar-sharif-on-bridge,1,Omar Sharif On Bridge,軟體世界 41 p.13 橋藝大師
氙星異形ii,cmsx2unij001704ld1astjjw1,氙星異形II,氙星異形ii,2,,軟體世界 15 p.12 氙星異形II彩色攻略 / 軟體世界 18 p.72 氙星異形II載入硬碟法
氙星異形ii,cmsx2xzyq00dq04ld68vxiykb,氙星異形II (Xenon 2),氙星異形ii-xenon-2,1,Xenon 2,軟體世界 17 p.68 氙星異形II無敵版
氪星異形,cmsylwh3o008504ji1vql0j36,氪星異形,氪星異形,1,,軟體世界 26 p.87 氪星異形I—EGA版隻數修改法
氪星異形,cmsybokc1008004l2mefpar1w,氪星異形 (Kryptonite),氪星異形-kryptonite,1,Kryptonite,軟體世界 22 p.97 氪星異形Ⅰ隻數修改法
波斯王子,cmsx2unfz000p04ldsu7kvqky,波斯王子,波斯王子,9,,軟體世界 15 p.8 波斯王子 / 軟體世界 18 p.44 波斯王子救美記 / 軟體世界 24 p.93 波斯王子劍術秘笈 …共 9 篇
波斯王子,cmsx2xztr00ci04ldfzp1l94g,波斯王子 (Prince of Persia),波斯王子-prince-of-persia,3,Prince of Persia,軟體世界 17 p.40 波斯王子 救美記(上) / 軟體世界 15 p.8 波斯王子 / 軟體世界 19 p.70 波斯王子修改篇
