group,id,name,slug,articles,note,articles_sample
創世紀vi,cmsybi8kg002k04l2pzajqzgs,創世紀 VI,創世紀-vi,3,,軟體世界 21 p.50 創世紀 VI 攻略（二） / 軟體世界 30 p.79 創世紀 VI 超快攻略&攻略補遺 / 軟體世界 33 p.39 創世紀 VI 秘密指令
創世紀vi,cmswuudra000d04l4e3hmyz33,創世紀VI,創世紀vi,25,,軟體世界 27 p.87 創世紀VI補充說明 / 軟體世界 14 p.6 創世紀VI / 軟體世界 14 p.18 創世紀VI在燒 …共 25 篇
創世紀vii,cmsysz3d8007x04joasq8vtmr,創世紀 VII,創世紀-vii,5,,電腦玩家 創刊驚嘆號 p.43 創世紀 VII 最新報導 / 軟體世界 39 p.88 遊戲獵人 / 軟體世界 45 p.28 創世紀7人物屬性修改法 …共 5 篇
創世紀vii,cmt1mj8xr003c04jui9uwf3jq,創世紀VII,創世紀vii,1,,軟體世界 36 p.87 創世紀VII創作訪談
宇宙傳奇iii,cmsvoexnr006404l81fwblk57,宇宙傳奇 III,宇宙傳奇-iii,2,,軟體世界 4 p.15 專訪宇宙傳奇 III / 軟體世界 4 p.50 宇宙傳奇 III 完全攻略(下)
宇宙傳奇iii,cmsvo5yr5003504l8mbthoizs,宇宙傳奇Ⅲ,宇宙傳奇iii,1,,軟體世界 3 p.41 宇宙傳奇Ⅲ完全攻略(上)
小蜜蜂88,cmsumllbx008i04joa0o6y3sl,小蜜蜂'88,小蜜蜂-88,1,,星際遊樂雜誌 3 秘技大地
小蜜蜂88,cmsumhmql000m04joogofhhrd,小蜜蜂88,小蜜蜂88,1,,星際遊樂雜誌 2 p.32 小蜜蜂88 幻想空間
新a10坦克殺手a10tankkillerver15,cmsyrh844003x04lfk5uom3dr,新 A-10 坦克殺手 (A-10 Tank Killer Ver 1.5),新-a-10-坦克殺手-a-10-tank-killer-ver-1-5,1,A-10 Tank Killer Ver 1.5,軟體世界 30 p.11 新 A-10 坦克殺手 (A-10 Tank Killer Ver 1.5)
新a10坦克殺手a10tankkillerver15,cmsyrzhab000604jxnebula02,新A-10 坦克殺手 (A-10 Tank killer Ver 1.5),新a-10-坦克殺手-a-10-tank-killer-ver-1-5,1,A-10 Tank killer Ver 1.5,軟體世界 31 p.4 新A-10 坦克殺手
死亡潛航ii,cmsyew086002a04l14umhidif,死亡潛航 II,死亡潛航-ii,2,,軟體世界 29 p.100 死亡潛航 II—潛艇資料修改大全 / 軟體世界 24 p.80 死亡潛航 II—BBH艦遭遇記
死亡潛航ii,cmt1hzs9l002s04ld75z9h3m5,死亡潛航II,死亡潛航ii,1,,軟體世界 35 p.36 死亡潛航II－一反死潛必勝戰術
燃燒的野球ii,cmsvuqwvd001304lex4gp9div,燃燒的野球 II,燃燒的野球-ii,1,,軟體世界 10 p.15 燃燒的野球 II - 野球再燃燒 BASEBALL II
燃燒的野球ii,cmsybel5g003i04jvgpw105gw,燃燒的野球II,燃燒的野球ii,1,,軟體世界 20 p.94 燃燒的野球II攻略小技巧
猴島小英雄ii,cmt1hzsbx003h04ld3tgk285l,猴島小英雄 II,猴島小英雄-ii,1,,軟體世界 35 p.70 猴島小英雄 II 特別報導
猴島小英雄ii,cmt1mvacz006204junhy5mrt5,猴島小英雄II,猴島小英雄ii,1,,軟體世界 37 p.14 猴島小英雄II
空中英雄長空會戰,cmt1mj8it000d04ju87j981c1,空中英雄長空會戰,空中英雄長空會戰,2,,軟體世界 36 p.8 空中英雄長空會戰 / 軟體世界 36 p.20 空中英雄長空會戰特別報導
空中英雄長空會戰,cmt1hzs4u001k04ld4qcxnlzf,空中英雄－長空會戰,空中英雄-長空會戰,1,,軟體世界 35 p.15 空中英雄－長空會戰
蝙蝠俠電影版,cmsyqnps3004g04i5co9lv7xy,蝙蝠俠·電影版,蝙蝠俠-電影版-2,1,,軟體世界 29 p.99 蝙蝠俠·電影版小祕技
蝙蝠俠電影版,cmsyevzw4000104l11vw046rv,蝙蝠俠。電影版,蝙蝠俠-電影版,2,,軟體世界 24 p.1 蝙蝠俠。電影版 / 軟體世界 24 p.43 蝙蝠俠攻略
醫生也瘋狂ii,cmsyqgopp00aw04jnv82mpbj4,醫生也瘋狂 II,醫生也瘋狂-ii,1,,軟體世界 28 p.19 醫生也瘋狂 II
醫生也瘋狂ii,cmsyq9fj7003d04jnq5q01s8m,醫生也瘋狂II,醫生也瘋狂ii,1,,軟體世界 27 p.4 醫生也瘋狂II - 腦科篇(LIFE & DEATH II - THE BRAIN)
銀河飛將ii,cmt1hzs95002n04ldphozlprv,銀河飛將 II,銀河飛將-ii,2,,軟體世界 35 p.35 銀河飛將 I、II－讓雷達看得更遠 / 軟體世界 35 p.37 銀河飛將 I、II－終結大法
銀河飛將ii,cmt03mnjd002704l5hsr0bmcq,銀河飛將II,銀河飛將ii,11,,軟體世界 34 p.35 銀河飛將II——雷霆戰機 / 軟體世界 34 p.55 銀河飛將II——帝國逆襲(下) / 軟體世界 34 銀河飛將II無敵程式II …共 11 篇
雙截龍ii,cmsvuqwtg000p04lesa83s82n,雙截龍 II,雙截龍-ii,1,,軟體世界 10 p.12 雙截龍 II - 復仇記 DOUBLE DRAGON II
雙截龍ii,cmsx2unnl002604ldqe5irny6,雙截龍II,雙截龍ii,2,,軟體世界 15 p.40 雙截龍II攻略地圖 / 軟體世界 18 p.66 雙截龍II無敵修改法
