triage,multi_claim,cdg_id,bucket,cdg_title,cdg_year,cdg_platform,a_id,a_name,a_articles,a_years,b_id,b_name,b_articles,b_years,jev_same_game,jev_relation,jev_relation_conf,jev_era_mismatch,decision
建議合併,,cdg-4592,B 一中一西,警察故事3：陰謀,1991,DOS,cmt03mn8u000a04l535m4ump8,警察故事3－陰謀,1,1992–1992,cmt03mn92000b04l5ldija64r,Police Quest 3: The Kindred,1,1992–1992,0.950,translation_pair,0.990,0.380,
建議合併,,cdg-4593,B 一中一西,職業網球大賽2,1991,DOS,cmt1hzs1q000q04ldau392kcn,職業網球大賽2,2,1992–1992,cmt1hzs1x000r04ldvshqw7qm,Pro Tennis Tour 2,1,1992–1992,0.950,translation_pair,0.990,0.460,
建議合併,,cdg-4595,B 一中一西,天生好手2,1991,DOS,cmtdmiiix000g04l4rg0howd7,天生好手2,1,1992–1992,cmt1hzs2j000x04ldz3t0kux7,Earl Weaver Baseball II,1,1992–1992,0.950,translation_pair,0.990,0.400,
建議合併,,cdg-4599,B 一中一西,天才智多星,1991,DOS,cmt1hzs5b001p04ld59baxwgf,天才智多星,5,1992–1992,cmt1hzs5g001q04ldfxy8np7x,Castle of Dr. Brain,1,1992–1992,0.950,translation_pair,0.990,0.330,
建議合併,,cdg-4609,B 一中一西,戰爭風雲錄：中東戰爭,1991,DOS,cmt9rt6je001c04js2srk60mo,戰爭風雲錄：中東戰爭,3,1992–1992,cmta06a6d001v04jrvben362i,Conflict: Middle East,1,1992–1992,0.950,translation_pair,0.990,0.400,
建議合併,,cdg-4632,B 一中一西,多情藥師酷牛仔,1993,DOS,cmtpk4xds00zr04jv2kacpi6p,多情藥師酷牛仔,2,1993–1994,cmtpk43lg00rt04jvz34q07eo,Freddy Pharkas Frontier Pharmacist,1,1993–1993,0.950,translation_pair,0.980,0.060,
建議合併,,cdg-4659,B 一中一西,跳跳魔法師,1994,DOS,cmtpkg3dq02f604jvjiogiisv,跳跳魔法師,2,1994–1994,cmtpkgvbn02it04jvil11i558,HOCUS POCUS,1,1994–1994,0.950,translation_pair,0.970,0.060,
建議合併,,cdg-4752,B 一中一西,第六感生死關頭,1989,DOS,cmsylqo7r001604jilte6dayl,第六感生死關頭,1,1991–1991,cmsylqo7y001704jiu1v09hah,Interphase,1,1991–1991,0.950,translation_pair,0.990,0.510,
建議合併,,cdg-4759,B 一中一西,緝毒特勤組,1990,DOS,cmsysv1pr001k04jocvkdnm9u,緝毒特勤組,2,1991–1991,cmsyqnpgz001b04i5fficgd4r,Hoverforce,1,1991–1991,0.950,translation_pair,0.960,0.120,
建議合併,,cdg-4770,B 一中一西,天下第一刀,1991,DOS,cmta7yv04001904kz53adhn9y,天下第一刀,1,1993–1993,cmta7yv0b001a04kzzs4ct074,The First Samurai,1,1993–1993,0.950,translation_pair,0.990,0.190,
建議合併,,cdg-0588,C 同語言、字面小異,幻想西遊記,2000,Win9x,cmss8fs1l004a04jsvkv4xsq3,幻想西遊記,2,1999–2010,cmtpnd7o702jp04l6ip43noww,新西遊記,3,2002–2003,0.950,translation_pair,0.970,0.280,
建議合併,,cdg-3274,C 同語言、字面小異,烽火三國,1999,Windows,cmtplv15p0ed504jvpp4zpttf,烽火三國,1,2000–2000,cmtplkk670c1c04jv99855zny,縱橫天地之烽火三國,1,1999–1999,0.950,same_writing,0.580,0.080,
建議合併,,cdg-0013,B 一中一西,1990世界盃足球賽,1989,DOS,cmsx2w99n005704ld4pormgdz,1990世界盃足球賽,4,1990–1991,cmsx2w99t005804ldzc3zljn9,World Cup Soccer ITALIA '90,1,1990–1990,0.940,translation_pair,0.660,0.160,
建議合併,,cdg-0640,B 一中一西,世嘉拉力賽2,1999,Windows,cmtxy693b005204kwi4edjcnj,SEGA越野賽車 2,7,1999–1999,cmtplmm7h0ck604jv6sjatwq1,SEGA RALLY 2,1,1999–1999,0.940,translation_pair,0.900,0.070,
建議合併,,cdg-0666,B 一中一西,世紀帝國,1997,Windows,cmtplab8109i104jvho5o1s18,世紀帝國,2,1998–1998,cmu5g93qj001a04ky9vlnep2l,Age of Empires,1,1998–1998,0.940,translation_pair,0.990,0.260,
建議合併,,cdg-1162,B 一中一西,決戰西洋棋（Battle Chess）,1988,DOS,cmsvn61tt001n04l8kw1afpb3,決戰西洋棋,2,1989–1989,cmsvpx5gq002t04ld8a0iiorc,Battle Chess,1,1989–1989,0.940,translation_pair,0.980,0.350,
建議合併,,cdg-1732,B 一中一西,快樂天堂,1994,DOS,cmtpkhksp02s204jvth3m20lt,快樂天堂,2,1994–1994,cmtpkfc6j029004jvioos90nj,THEME PARK,1,1994–1994,0.940,translation_pair,0.900,0.060,
建議合併,,cdg-1938,B 一中一西,異域之門,1991,DOS,cmt1hzs81002c04ldgwpxkmc8,異域之門,9,1992–1992,cmsyrh865004904lfdknkbdek,Gateway to the Savage Frontier,1,1991–1991,0.940,translation_pair,1.000,0.100,
建議合併,,cdg-2201,B 一中一西,超級星式九號,1991,DOS,cmt1hzs3s001904ldfttyu9b2,Nova 9,1,1992–1992,cmt1hzs3n001804ldofd4dj8m,超級星式9號,3,1992–1992,0.940,translation_pair,0.650,0.340,
建議合併,,cdg-2911,B 一中一西,銀河飛將,1990,DOS,cmsybi8df000v04l24yjk6o3e,銀河飛將,19,1990–1994,cmsybekru001504jv2ltup9um,Wing Commander,4,1990–1993,0.940,translation_pair,0.970,0.130,
建議合併,,cdg-2969,B 一中一西,創世紀7：黑月之門,1992,DOS,cmt9rt67i000104jszp8mwoue,創世紀7：黑月之門,2,1992–1992,cmt9n4wfm004f04jmh4wdi9le,Ultima VII-The Black Gate,1,1992–1992,0.940,translation_pair,0.840,0.050,
建議合併,,cdg-3663,B 一中一西,魔喚精靈,1998,Windows,cmtplfzwj0az204jvegdr19m8,魔喚精靈,1,1998–1998,cmtpl8p8e094x04jvgtowww9a,VANTAGE MASTER,5,1997–1998,0.940,translation_pair,0.700,0.260,
建議合併,,cdg-3722,B 一中一西,魔法軍團,1998,DOS、Win9x,cmtpl55af086a04jvg00wno35,魔法軍團,4,1997–1998,cmtpl55aa086904jvpvh07hmo,Warlocks,1,1997–1997,0.940,translation_pair,0.990,0.240,
建議合併,,cdg-3757,B 一中一西,魔界召喚,1992,DOS,cmtpk4j7o00w704jv159rukah,魔界召喚,1,1993–1993,cmta82gcf005804kzldj63j41,The Summoning,2,1993–1993,0.940,translation_pair,0.990,0.390,
建議合併,,cdg-3768,B 一中一西,魔石堡,1995,DOS,cmtpks04504qu04jvqoinoqwd,魔石堡,4,1996–1996,cmtpkr5xt04i304jvkzbztzj9,StoneKeep,1,1995–1995,0.940,translation_pair,0.990,0.120,
建議合併,,cdg-3773,B 一中一西,魔胎,1992,DOS,cmta1agav005g04jw4l9n8rba,魔胎,4,1992–1993,cmta16ktk000n04jwuy4gapjp,The Dark Half,1,1993–1993,0.940,translation_pair,0.990,0.240,
建議合併,,cdg-3860,B 一中一西,核戰狂人夢,1989,DOS,cmsx2w9cr005y04ldhwnw8tjh,核戰狂人夢,3,1990–1990,cmsx2w9cy005z04ldu74ltrkk,Nuclear War,1,1990–1990,0.940,translation_pair,0.990,0.290,
建議合併,,cdg-3953,B 一中一西,烏龍吸血鬼,1988,DOS,cmsyqgoxm00cn04jnn2dyfftm,烏龍吸血鬼,1,1991–1991,cmsylwgqy005204jimlrsyn42,Night Hunter,1,1991–1991,0.940,translation_pair,0.990,0.480,
建議合併,,cdg-3959,B 一中一西,瑪麗姊妹,1992,DOS,cmta7yv0s001e04kz8r7v54jv,瑪麗姊妹,1,1993–1993,cmta1ag3k004104jw7ka8qlxp,瑪麗姐妹,1,1992–1992,0.940,translation_pair,0.660,0.150,
建議合併,,cdg-3959,B 一中一西,瑪麗姊妹,1992,DOS,cmta7yv0s001e04kz8r7v54jv,瑪麗姊妹,1,1993–1993,cmta7yv10001f04kzggi0mc1h,Sister Mary,1,1993–1993,0.940,translation_pair,0.980,0.230,
建議合併,,cdg-4011,B 一中一西,紅爵士,1990,DOS,cmsyew001000l04l1hdgylwvp,紅爵士,3,1991–1993,cmtb7seu9001t04laeygygemm,Red Baron,1,1992–1992,0.940,translation_pair,0.980,0.310,
建議合併,,cdg-4012,B 一中一西,無敵飛狼2000,1991,DOS,cmt1hzrx7000204ldap58bser,無敵飛狼2000,6,1992–1992,cmsysv1ny001504jowv04oeit,GUNSHIP 2000,3,1991–1992,0.940,translation_pair,0.930,0.180,
建議合併,,cdg-4022,B 一中一西,戰爭風雲錄：韓戰,1992,DOS,cmt9rt6iy001904js1sbpysf6,戰爭風雲錄：韓戰,2,1992–1992,cmta069xr000j04jrg9xi4k2q,Conflict: Korea,1,1992–1992,0.940,translation_pair,0.980,0.080,
建議合併,,cdg-4183,B 一中一西,英雄傳奇3：戰火焚生錄,1992,DOS,cmtpk1s8q00iw04jvi49k9nas,Quest for Glory III: WAGES OF WAR,1,1993–1993,cmta1ag4b004604jwuo0kzbby,英雄傳奇3,0,,0.940,translation_pair,0.540,0.210,
建議合併,,cdg-4245,B 一中一西,步步殺機,1989,DOS,cmsvud7u9000q04l64hu4ot5e,步步殺機,4,1989–1991,cmsvud7ug000s04l6tsd0mibd,RICK DANGEROUS,1,1989–1989,0.940,translation_pair,0.950,0.090,
建議合併,,cdg-4272,B 一中一西,風雲霸主,1990,DOS,cmta06a0t000z04jrjwsjizfc,風雲霸主,6,1992–1993,cmta06a14001004jr3yv8kh21,POWERMONGER,1,1992–1992,0.940,translation_pair,0.940,0.390,
建議合併,,cdg-4581,B 一中一西,A-6入侵者,1990,DOS,cmsylqo6j000v04ji12r01sep,A-6入侵者,1,1991–1991,cmsybeksg001904jvw0lzgmdf,Flight of the Intruder,2,1990–1991,0.940,translation_pair,0.990,0.160,
建議合併,,cdg-4588,B 一中一西,沙漠之蠱,1989,DOS,cmta8xkzm003404l6au9cqo5o,沙漠之蠱,1,1991–1991,cmsyqnphs001j04i58atokf8s,It Came From the Desert,1,1991–1991,0.940,translation_pair,0.970,0.430,
建議合併,,cdg-4595,B 一中一西,天生好手2,1991,DOS,cmt1hzs2j000x04ldz3t0kux7,Earl Weaver Baseball II,1,1992–1992,cmt1hzs2d000w04ldil167ckp,天生好手II,1,1992–1992,0.940,translation_pair,0.710,0.410,
建議合併,,cdg-4596,B 一中一西,空中英雄：長空會戰,1991,DOS,cmt1hzs4u001k04ld4qcxnlzf,空中英雄－長空會戰,1,1992–1992,cmt03mnej001a04l5reu6of9r,Chuck Yeager's Air Combat,2,1992–1992,0.940,translation_pair,0.980,0.370,
建議合併,,cdg-4596,B 一中一西,空中英雄：長空會戰,1991,DOS,cmt1mj8it000d04ju87j981c1,空中英雄長空會戰,2,1992–1992,cmt03mnej001a04l5reu6of9r,Chuck Yeager's Air Combat,2,1992–1992,0.940,translation_pair,0.990,0.430,
建議合併,,cdg-4627,B 一中一西,太空牛仔,1990,DOS,cmtpk43it00r604jv0yquunew,太空牛仔,2,1993–1993,cmtpk43iz00r704jvftd9sqj2,Spaceward Ho!,1,1993–1993,0.940,translation_pair,0.990,0.440,
建議合併,,cdg-4629,B 一中一西,橋牌高手,1992,DOS,cmta8mf53002p04jrehcuvod4,橋牌高手,3,1993–1993,cmtpjz2kn001y04jvieh7swop,Bridge Master,1,1993–1993,0.940,translation_pair,0.990,0.370,
建議合併,,cdg-4734,B 一中一西,雪國狄斯奈,1990,DOS,cmswuudwd001904l4ruu5jun6,雪國狄斯奈,3,1990–1991,cmswuudwl001a04l471fyveep,SKI OR DIE,1,1990–1990,0.940,translation_pair,0.860,0.070,
建議合併,,cdg-5387,B 一中一西,魔導異元素：精靈戰士篇,2000,Windows,cmtplq3g60dav04jvrwdfki6d,魔導異元素,1,2000–2000,cmtpletom0ap504jv4d6n7ebd,Sequence Palladium,1,1998–1998,0.940,translation_pair,0.950,0.170,
建議合併,,cdg-3758,B 一中一西 ⚠年代分歧,魔界歷險,1987,DOS,cmswuudul000x04l4549cl9ky,魔界歷險,6,1990–1991,cmswuudut000y04l4sh4mdmva,SORCERIAN,1,1990–1990,0.940,translation_pair,0.850,0.310,
建議合併,,cdg-0207,C 同語言、字面小異,三國孔明傳,2002,Windows,cmtpng40z034704l6eg0noo4h,三國孔明傳,4,2003–2003,cmtpnc6vj02d704l6heojfl3f,孔明傳,2,2002–2002,0.940,translation_pair,0.780,0.130,
建議合併,,cdg-0553,C 同語言、字面小異,工人物語,1994,DOS,cmtpkfc5j028t04jvskd6163n,工人物語,2,1994–1994,cmtpkgvvc02mv04jv397awwax,工人物語建國篇,2,1994–1995,0.940,translation_pair,0.710,0.180,
建議合併,,cdg-1029,C 同語言、字面小異,四川省2,1992,DOS,cmta16kxm001404jwi1rx3ig8,四川省2,0,,cmt1mvac4005r04juq6h9szpg,四川省II,4,1992–1992,0.940,translation_pair,0.720,0.080,
建議合併,,cdg-2529,C 同語言、字面小異,聖少女戰隊2,1995,DOS,cmtpknfg803h804jv0tfdb09b,聖少女戰隊 2,3,1995–1995,cmtpkktah03a704jv3pnovcr5,聖少女戰隊 II,1,1995–1995,0.940,same_writing,0.760,0.050,
建議合併,,cdg-2729,C 同語言、字面小異,夢幻四驅車,1999,Windows,cmtpliana0bh204jvey3rxogf,夢幻四驅車,1,1999–1999,cmtplna170cqp04jvq10wdvtg,夢幻遙控車,1,1999–1999,0.940,translation_pair,0.990,0.050,
建議合併,,cdg-3480,C 同語言、字面小異,藏天神魔傳,2002,Windows,cmtpn7cob01e004l6agjyetnl,藏天神魔傳,1,2002–2002,cmtpn2nv500hd04l6ogywoyui,西藏鎮魔曲,1,2001–2001,0.940,translation_pair,0.920,0.570,
建議合併,,cdg-3785,C 同語言、字面小異,魔鬼推銷員,1995,DOS,cmtpkpa2q041b04jv71ghgtjc,魔鬼推銷員,2,1995–1995,cmtpkgvh902jv04jv6tl0ehq7,推銷之王,1,1994–1994,0.940,translation_pair,0.930,0.390,
建議合併,,cdg-1574,B 一中一西,代碼：冰人,1990,DOS,cmswuudso000l04l4pdiof632,代碼：冰人,2,1990–1990,cmswuudsw000m04l4iga9g33o,CODENAME: ICEMAN,1,1990–1990,0.930,translation_pair,0.770,0.060,
建議合併,,cdg-1832,B 一中一西,神奇傳說,1997,Windows,cmtpl1ipb071104jvnj9odlxq,神奇傳說,6,1997–1999,cmtpkznf606q704jvbvhoqntl,Farland Saga,1,1996–1996,0.930,translation_pair,0.980,0.320,
建議合併,,cdg-2091,B 一中一西,絕冬城之夜,2002,Windows,cmtpn7cu101fa04l69fkvomky,絕冬城之夜,2,2002–2003,cmtplycry0f4f04jvjkjqomub,Neverwinter Nights,1,2001–2001,0.930,translation_pair,0.960,0.760,
建議合併,,cdg-3605,B 一中一西,鐵路大亨,1990,DOS,cmsyew02g001304l1wqd550i6,鐵路大亨,11,1991–1998,cmsybekr5001104jvpfnvhtd7,Railroad Tycoon,1,1990–1990,0.930,translation_pair,0.970,0.120,
建議合併,,cdg-3872,B 一中一西,蠟像館之謎,1992,DOS,cmtpjz2l0002104jvayspypwq,蠟像館之謎,3,1993–1993,cmtpjz2ld002404jv4u7owc2g,Waxworks,1,1993–1993,0.930,translation_pair,0.990,0.370,
建議合併,,cdg-3894,B 一中一西,紗之器,1990,DOS,cmswuudvg001304l4snuiqyev,紗之器,2,1990–1990,cmswuudvp001404l4p35ctmzt,LOOM,1,1990–1990,0.930,translation_pair,0.960,0.050,
建議合併,,cdg-3916,B 一中一西,囂張拳王,1991,DOS,cmt1hzs0x000l04ldq22771n8,囂張拳王,4,1992–1992,cmsysv1mj000t04jovztewjnn,4D Boxing,3,1991–1992,0.930,translation_pair,0.990,0.190,
建議合併,,cdg-3959,B 一中一西,瑪麗姊妹,1992,DOS,cmta1ag3k004104jw7ka8qlxp,瑪麗姐妹,1,1992–1992,cmta7yv10001f04kzggi0mc1h,Sister Mary,1,1993–1993,0.930,translation_pair,0.970,0.390,
建議合併,,cdg-4024,B 一中一西,狂島浴血,1991,DOS,cmt9rt6ig001604jstkmtnnbu,狂島浴血,5,1992–1992,cmta069vv000a04jrica6u0n9,Battle Isle,1,1992–1992,0.930,translation_pair,0.990,0.300,
建議合併,,cdg-4661,B 一中一西,網路奇兵,1994,DOS,cmtpkgvkb02kj04jvija1748m,網路奇兵,2,1994–1995,cmtpkgvkl02kk04jvr6syjbty,SYSTEM SHOCK,1,1994–1994,0.930,translation_pair,0.930,0.090,
建議合併,,cdg-4737,B 一中一西,叢林之神,1989,DOS,cmsx2w9e5006a04ldoqkitar1,叢林之神,2,1990–1991,cmsx2w9eb006b04ld9vt6w8ky,Livingstone II,1,1990–1990,0.930,translation_pair,0.980,0.320,
建議合併,,cdg-4744,B 一中一西,極光勇士,1990,DOS,cmsybel4u003e04jvf1hpzlce,極光勇士,3,1990–1991,cmsxqcbn4004z04l4zw34nn4y,STARBLADE,1,1990–1990,0.930,translation_pair,0.890,0.080,
建議合併,,cdg-4771,B 一中一西,玩具兵棋,1992,DOS,cmta7yuvg000l04kzkfbmgks7,玩具兵棋,1,1993–1993,cmta82gdm005m04kzjrtr77al,Theatre Of War,2,1993–1993,0.930,translation_pair,0.880,0.350,
建議合併,,cdg-4855,B 一中一西,時光的羈絆,2004,Windows,cmtpnp2js04rb04l6jmgnu3ej,時光的羈絆,2,2003–2004,cmtpnofbp04l304l6dpgd0ybb,EVER17,2,2003–2011,0.930,translation_pair,0.700,0.280,
建議合併,,cdg-5224,B 一中一西,超時空戰機,1995,DOS,cmtpks03k04qm04jvbfp2dkmx,超時空戰機,1,1996–1996,cmtpkkt8l039n04jveowh5wyq,BARYON,1,1995–1995,0.930,translation_pair,0.980,0.170,
建議合併,,cdg-1478,C 同語言、字面小異,美少女夢工場2,1994,DOS,cmtpkecer01zt04jv0mioy8sq,美少女夢工場2,1,1994–1994,cmtpkb3x401fu04jvl5l565b7,美少女夢工廠2,2,1994–1994,0.930,same_writing,0.780,0.090,
建議合併,,cdg-2971,C 同語言、字面小異,創世紀8：異教徒,1994,DOS,cmtpkgvlr02kt04jvv2z9fj0w,創世紀8 異教徒,1,1994–1994,cmtpkerbp023h04jv1myebqii,創世紀8,5,1994–1994,0.930,same_writing,0.560,0.060,
建議合併,,cdg-4005,C 同語言、字面小異 ⚠年代分歧,魔界神兵2,1988,DOS,cmu84x7ek00np04ih42umxfkg,魔界神兵2,1,1993–1993,cmsvuqx32002a04lecui5dn81,魔界神兵 II,1,1990–1990,0.930,same_writing,0.850,0.440,
建議合併,,cdg-1547,B 一中一西,飛龍騎士,1990,DOS,cmsx2w9c2005s04ld3ba4wjca,飛龍騎士,5,1990–1992,cmsx2w9ca005t04ld2qefaj72,Dragon Strike,1,1990–1990,0.920,translation_pair,0.890,0.100,
