group,id,name,slug,articles,note,articles_sample
,cmtpk43fw00qh04jv3n90y6jj,EYE OF BEHOLDER III—ASSULT ON MYTH DRANNOR,eye-of-beholder-iii-assult-on-myth-drannor,1,42 字,軟體世界 52 p.4 NEW FILES
,cmt03mnao000i04l5ewauwupn,F-117A STEALTH FIGHTER 2.0,f-117a-stealth-fighter-2-0,2,26 字,軟體世界 34 p.8 F-117A夜鷹隱形戰鬥機(F-117A STEALTH FIGHTER 2.0) / 軟體世界 34 p.81 F-117A夜鷹隱形戰鬥機特別報導
,cmtztlnpf005c04l51ljz2a1g,FAIRY TAIL 魔導少年 原創故事 決戰大聖堂,fairy-tail-魔導少年-原創故事-決戰大聖堂,1,26 字,電玩通 316 p.90 新作情報快遞
,cmtxe421f001r0agm2dfqpuv7,FRONT MISSION 2089 Border of Madness,front-mission-2089-border-of-madness,2,36 字,電玩通 193 p.106 FRONT MISSION 2089 Border of Madness / 電玩通 181 p.16 FRONT MISSION 2089 Border of Madness
,cmtpk43lg00rt04jvz34q07eo,Freddy Pharkas Frontier Pharmacist,freddy-pharkas-frontier-pharmacist,1,34 字,軟體世界 52 p.22 新Game熱報
,cmtpnyiti06vq04l6xjcveu4m,GTR: The Ultimate Racing Game,gtr-the-ultimate-racing-game,1,29 字,軟體世界 193 p.92 GTR: The Ultimate Racing Game
,cmsyrh865004904lfdknkbdek,Gateway to the Savage Frontier,gateway-to-the-savage-frontier,1,30 字,軟體世界 30 p.14 Gateway to the Savage Frontier
,cmtpl1ira071l04jvgs06y2tr,Get / 戀愛物語 / 紅色誘惑 / 誕生 Special,get-戀愛物語-紅色誘惑-誕生-special,1,30 字,軟體世界 94 p.44 Get / 戀愛物語 / 紅色誘惑 / 誕生 Special
,cmtplx9v00ewz04jvbo44vxpz,High Heat Major League Baseball,high-heat-major-league-baseball,1,31 字,軟體世界 144 p.28 High Heat Major League Baseball
,cmtplx9v80ex204jvii32syu7,Hostile Waters: Antaeus Rising,hostile-waters-antaeus-rising,1,30 字,軟體世界 144 p.29 Hostile Waters: Antaeus Rising
,cmta06a54001p04jrpct1jzer,Jack Nicklaus Golf & Course Design,jack-nicklaus-golf-course-design,1,34 字,軟體世界 43 p.19 傑克大師高爾夫
,cmtzt5zd900cq0agmyw0a7x1k,KINGDOM HEARTS 3D [Dream Drop Distance],kingdom-hearts-3d-dream-drop-distance,2,39 字,電玩通 380 p.71 KINGDOM HEARTS 3D [Dream Drop Distance] / 電玩通 365 p.42 KINGDOM HEARTS 3D [Dream Drop Distance]
,cmtzuna6a001v0agmganx0r0v,KINGDOM HEARTS Birth by Sleep FINAL MIX,kingdom-hearts-birth-by-sleep-final-mix,1,39 字,電玩通 324 p.68 KINGDOM HEARTS Birth by Sleep FINAL MIX
,cmtpk1sa200jb04jvc5s9di05,"King's Quest VI: Heir Today, Gone Tomorrow",king-s-quest-vi-heir-today-gone-tomorrow,1,42 字,軟體世界 46 國王密使 VI：希望之旅
,cmta06a1p001404jr9oi0euuh,LAURA BOW IN THE DAGGER AMON RA,laura-bow-in-the-dagger-amon-ra,1,31 字,軟體世界 43 p.15 蘿拉推理系列—匕首疑雲
,cmta16kva000r04jw5hqjkmxh,Laura Bow in the Dagger of Amon Ra,laura-bow-in-the-dagger-of-amon-ra,0,34 字,
,cmt9n4wi4004y04jmarvsk50x,Leather Goddesses of Phobos,leather-goddesses-of-phobos,2,27 字,軟體世界 40 p.10 意外的訪客 / 軟體世界 40 p.96 意外的訪客
,cmsylwgts005q04jiiu9kiwrq,Life & Death II: The Brain,life-death-ii-the-brain,1,26 字,軟體世界 26 p.16 醫生也瘋狂II
,cmtpjz2nf002n04jvtdj5c9qr,Lost Secret of the Rainforest,lost-secret-of-the-rainforest,2,29 字,軟體世界 51 p.10 LOST SECRET OF THE RAINFOREST / 軟體世界 52 p.4 NEW FILES
,cmu84x5v300dy04ihizubw5r2,MARVEL SUPER HEROES VS. STREET FIGHTER,marvel-super-heroes-vs-street-fighter,2,38 字,電擊SEGA SATURN 電擊SS 創刊3號 p.56 MARVEL SUPER HEROES VS. STREET FIGHTER / 電擊SEGA SATURN 電擊SS 創刊5號 p.82 MARVEL SUPER HEROES VS. STREET FIGHTER
,cmtxe43do003v0agmxw7c9k2o,METAL GEAR SOLID 4 GUNS OF THE PATRIOTS,metal-gear-solid-4-guns-of-the-patriots,1,39 字,電玩通 184 p.91 METAL GEAR SOLID 4 GUNS OF THE PATRIOTS
,cmtzt4jhb000w0agmtz2icc4u,METAL GEAR SOLID PEACE WALKER,metal-gear-solid-peace-walker,1,29 字,電玩通 284 p.41 METAL GEAR SOLID PEACE WALKER 試玩報告出爐！
,cmu84x6cy00hp04ih06chlvgz,MONSTER MAKER HOLLY DAGGER,monster-maker-holly-dagger,1,26 字,電擊SEGA SATURN 電擊SS 創刊5號 p.52 MONSTER MAKER HOLLY DAGGER
,cmsyqnpif001q04i5n9yy6hq7,Mario Andretti's Racing Challenge,mario-andretti-s-racing-challenge,1,33 字,軟體世界 29 p.15 挑戰極速
,cmtpk1s9i00j504jvq8obbapp,Might & Magic: Clouds of Xeen,might-magic-clouds-of-xeen,1,29 字,軟體世界 46 魔法門外傳
,cmta7yuyy001004kzkgiy0e6i,Might & Magic:Clouds of Xean,might-magic-clouds-of-xean,0,28 字,
,cmu84x6ah00h404ihmkimffw7,Monaco Grand Prix Pacing Simulation 2,monaco-grand-prix-pacing-simulation-2,1,37 字,電擊SEGA SATURN 電擊SS 創刊5號 p.40 Monaco Grand Prix Pacing Simulation 2
,cmu84x5u600dq04ihnzr92mip,Monaco Grand Prix Racing Simulation 2,monaco-grand-prix-racing-simulation-2,1,37 字,電擊SEGA SATURN 電擊SS 創刊3號 p.54 Monaco Grand Prix Racing Simulation 2
,cmu84x57800ax04ihnv545vke,NEOGEO CUP'98~The Road to The Victory,neogeo-cup-98-the-road-to-the-victory,1,37 字,電擊SEGA SATURN 試刊9號 p.134 NEOGEO CUP'98~The Road to The Victory
,cmtpjz2qb003d04jvjom2uolp,Pepper's Adventure in Time,pepper-s-adventure-in-time,1,26 字,軟體世界 51 p.4 Pepper's Adventure in Time
,cmtpkr5wz04hv04jvrb0uby0h,Pitfall : The Mayan Adventure,pitfall-the-mayan-adventure,1,29 字,軟體世界 81 p.14 Pitfall : The Mayan Adventure
,cmt03mn92000b04l5ldija64r,Police Quest 3: The Kindred,police-quest-3-the-kindred,1,27 字,軟體世界 34 p.6 警察故事3－陰謀(Police Quest 3: The Kindred)
,cmu097t5i002e0agmcw4texdv,Princess Evangile Portable,princess-evangile-portable,1,26 字,電玩通 367 p.130 新作情報快遞
,cmtpk1s8q00iw04jvi49k9nas,Quest for Glory III: WAGES OF WAR,quest-for-glory-iii-wages-of-war,1,33 字,軟體世界 46 英雄傳奇 III：戰火焚生錄
,cmta069v2000604jr6f3atmh5,ROAD & TRACK Presents GRAND PRIX UNLIMITED,road-track-presents-grand-prix-unlimited,1,42 字,軟體世界 43 p.6 狂飆遊龍—F1—級方程式大賽車
,cmtpl9hje09as04jvb1s0tef9,Rhythm～戀之律動～Shinc...Renewal,rhythm-戀之律動-shinc-renewal,1,27 字,軟體世界 105 p.97 Rhythm～戀之律動～Shinc...Renewal
,cmt1mj8kc000n04juctqebdgh,SARGON V-World Class Chess,sargon-v-world-class-chess,1,26 字,軟體世界 36 p.12 SARGON V-World Class Chess
,cmtxe4317002b04jlu79ewpav,STAR OCEAN Second Evolution,star-ocean-second-evolution,2,27 字,電玩通 185 p.118 STAR OCEAN Second Evolution / 電玩通 181 p.110 STAR OCEAN Second Evolution
,cmt9n4wh7004r04jm8gld4ln8,Star Trek-25th Anniversary,star-trek-25th-anniversary,1,26 字,軟體世界 40 p.8 星際爭霸戰
,cmtplm1120ch104jv5baaasye,Superbike World Championship,superbike-world-championship,1,28 字,軟體世界 123 p.292 Superbike World Championship
,cmt9n2ois002u04jm0ko0cmec,TREASURES OF THE SAVGE FRONTIER,treasures-of-the-savge-frontier,1,31 字,軟體世界 39 p.88 遊戲獵人
,cmsylwgsv005i04ji7jqvp0qn,Test Drive III: Road & Car,test-drive-iii-road-car,1,26 字,軟體世界 26 p.14 名車大賽III資料片
,cmtpk43jd00r904jvb6tcmmlp,The Lost Files of Sherlock Holmes,the-lost-files-of-sherlock-holmes,2,33 字,軟體世界 52 p.14 強片預告 / 軟體世界 53 p.4 NEW FILES
,cmsylqo7a001104ji6uj6ncxo,The Other Side of the Predella,the-other-side-of-the-predella,1,30 字,軟體世界 25 p.14 神州八劍
,cmsyqnpiw001u04i52cbstcpa,The Secret Weapons of the Luftwaffe,the-secret-weapons-of-the-luftwaffe,1,35 字,軟體世界 29 p.16 納粹飛行秘史
,cmsybekqa000x04jv30y4dwh5,The Secret of Monkey Island,the-secret-of-monkey-island,2,27 字,軟體世界 20 p.13 The Secret of Monkey Island / 軟體世界 21 p.4 猴島小英雄
,cmt9n4wrm007a04jmmxcdq2ky,The Secret of Monkey Island 2: LeChuck's Revenge,the-secret-of-monkey-island-2-lechuck-s-revenge,1,48 字,軟體世界 40 p.92 猴島小英雄2
,cmu84x57p00b104ihn0q9jy0p,The World Soccer Championship,the-world-soccer-championship,1,29 字,電擊SEGA SATURN 試刊9號 p.135 The World Soccer Championship
,cmtpk43gw00qm04jvvixfqy4u,Tony LaRussa BASEBALL II EXPANSION DISK — FANTASY DRAFT,tony-larussa-baseball-ii-expansion-disk-fantasy-draft,1,55 字,軟體世界 52 p.4 NEW FILES
,cmta069wn000e04jr6xkw53ik,Treasures of the Savage Frontier,treasures-of-the-savage-frontier,1,32 字,軟體世界 43 p.10 蠻荒地域系列II：異域寶藏
,cmtzt5v0700ac0agm0xz0161j,UNCHARTED 3: Drake's Deception,uncharted-3-drake-s-deception,1,30 字,電玩通 362 p.34 UNCHARTED 3: Drake's Deception
,cmtpk43g900qj04jvbvad1nuv,Ultima VII Part II SERPENT ISLE,ultima-vii-part-ii-serpent-isle,1,31 字,軟體世界 52 p.4 NEW FILES
,cmtpk1s8a00ir04jvz0zw7m9b,Ultima VII: FORGE OF VIRTUE,ultima-vii-forge-of-virtue,1,27 字,軟體世界 46 創世紀 7 資料片：美德試煉場
,cmt03mnjx002804l5tplewa2s,Wing Commander II: The Kellerman Quest,wing-commander-ii-the-kellerman-quest,3,38 字,軟體世界 34 p.35 銀河飛將II——雷霆戰機 / 軟體世界 34 p.55 銀河飛將II——帝國逆襲(下) / 軟體世界 34 銀河飛將II無敵程式II
,cmsylwgse005e04jiuiqxv089,Wing Commander: Secret Mission 2,wing-commander-secret-mission-2,1,32 字,軟體世界 26 p.14 銀河飛將資料片2
,cmsx2w99t005804ldzc3zljn9,World Cup Soccer ITALIA '90,world-cup-soccer-italia-90,1,27 字,軟體世界 16 p.4 1990世界盃足球賽
,cmu84x6he00iq04ih9p7g6eht,e² tude prologue～揺れ動く心のかたち～,e2-tude-prologue-揺-動-心,1,27 字,電擊SEGA SATURN 電擊SS 創刊5號 p.102 e² tude prologue～揺れ動く心のかたち～
,cmu84x6dd00ht04ihfwnyysx6,ときめきメモリアル ドラマシリーズVol 3 旅立ちの詩,vol-3-旅立-詩,1,28 字,電擊SEGA SATURN 電擊SS 創刊5號 p.54 ときめきメモリアル ドラマシリーズVol 3 旅立ちの詩
,cmtplblxo09uk04jvmxecigaw,ときめきメモリアル～Forever With You,forever-with-you,1,26 字,軟體世界 108 p.106 ときめきメモリアル～Forever With You
,cmsys3a2u008304jxt4er19en,三國演義 (Romance of the Three Kingdoms),三國演義-romance-of-the-three-kingdoms,2,36 字,軟體世界 32 p.100 三國演義修改篇 / 軟體世界 32 p.105 三國演義修改工具程式（一）
,cmsybok2z005804l2izsbn895,人生劇場 (Jones in the Fast Lane),人生劇場-jones-in-the-fast-lane,1,29 字,軟體世界 22 p.8 人生劇場
,cmsyrh878004k04lfbi4832xu,俠盜羅賓漢 (Conquests of the Longbow Legend of Robin Hood),俠盜羅賓漢-conquests-of-the-longbow-legend-of-robin-hood,1,53 字,軟體世界 30 p.16 俠盜羅賓漢 (Conquests of the Longbow Legend of Robin Hood)
,cmsyrh81x003h04lfcivbijl6,冰城傳奇——命運之賊 (THE BARD'S TALE:THIEF OF FATE),冰城傳奇-命運之賊-the-bard-s-tale-thief-of-fate,1,42 字,軟體世界 30 p.8 冰城傳奇——命運之賊 (THE BARD'S TALE:THIEF OF FATE)
,cmsx2xzpo00bi04lddlfgypxc,凱撒大帝 (CENTURION: Defender of Rome),凱撒大帝-centurion-defender-of-rome,1,34 字,軟體世界 17 p.14 凱撒大帝
,cmt9n7n0200a604jmyokmjkt8,創世紀 I～III 典藏版 (Ultima Trilogy),創世紀-i-iii-典藏版-ultima-trilogy,1,30 字,軟體世界 41 p.10 創世紀 I～III 典藏版
,cmt9n7myf009r04jmxv6ar6uq,印第安那瓊斯—亞特蘭提斯之謎 (Indiana Jones and the Fate of Atlantis),印第安那瓊斯-亞特蘭提斯之謎-indiana-jones-and-the-fate-of-atlantis,2,55 字,軟體世界 41 p.4 印第安那瓊斯—亞特蘭提斯之謎 / 軟體世界 41 p.85 印第安那瓊斯—亞特蘭提斯之謎
,cmtpk4x2s00y604jvrl8jk9y7,多情藥師酷牛仔 Freddy Pharkas Frontier Pharmacist,多情藥師酷牛仔-freddy-pharkas-frontier-pharmacist,1,42 字,軟體世界 54 p.11 強片預告
,cmt9n7n3m00at04jmsnvlbofm,太平洋空戰英雄 (Aces of the Pacific),太平洋空戰英雄-aces-of-the-pacific,1,29 字,軟體世界 41 p.15 太平洋空戰英雄
,cmsys39vh006504jxnmfxcfbo,威利奇遇記 (The Adventure of Willie Beamish),威利奇遇記-the-adventure-of-willie-beamish,2,39 字,軟體世界 32 p.16 威利奇遇記 / 軟體世界 32 p.93 威利奇遇記特別報導
,cmsysv1gg000104jogrb7i7d6,威利奇遇記 (The Adventure of Willy Beamish),威利奇遇記-the-adventure-of-willy-beamish,1,38 字,軟體世界 33 p.6 威利奇遇記
,cmsys39zc007a04jxbmwvxass,幻想空間 V (Leisure Suit Larry V),幻想空間-v-leisure-suit-larry-v,1,29 字,軟體世界 32 p.81 幻想空間 V 特別報導
,cmsys39u4005q04jx2jgmlvzy,幻想空間 V (Leisure Suit Larry V: Passionate Patti Does A Little Undercover Work),幻想空間-v-leisure-suit-larry-v-passionate-patti-does-a-little-undercover-work,1,77 字,軟體世界 32 p.11 幻想空間 V
,cmsx2xzmr00au04ldt7p1wz13,忍者龜 (Teenage Mutant Ninja Turtles),忍者龜-teenage-mutant-ninja-turtles,2,34 字,軟體世界 17 p.6 忍者龜 / 軟體世界 22 p.99 忍者龜無敵版
,cmtztltwo00000agm71gl7rrd,愛麗絲夢遊紅心國 週年紀念版 ～Wonderful Wonder World～,愛麗絲夢遊紅心國-週年紀念版-wonderful-wonder-world,1,39 字,電玩通 336 p.84 新作情報快遞
,cmta7yv2s001t04kz3yre0vu4,戰火焚生錄 Quest for Glory III: WAGES OF WAR,戰火焚生錄-quest-for-glory-iii-wages-of-war,0,39 字,
,cmtztlnpk005d04l5hwokrvm3,戰鬥陀螺 鋼鐵戰魂 絕頂對決！大霹靂盃陀螺戰士全球大賽,戰鬥陀螺-鋼鐵戰魂-絕頂對決-大霹靂盃陀螺戰士全球大賽,1,27 字,電玩通 316 p.90 新作情報快遞
,cmtpjz2o4002t04jvuhwutkf3,探索The Lost files of Sherlock Holmes,探索the-lost-files-of-sherlock-holmes,1,35 字,軟體世界 51 p.10 探索The Lost files of Sherlock Holmes
,cmsyrh844003x04lfk5uom3dr,新 A-10 坦克殺手 (A-10 Tank Killer Ver 1.5),新-a-10-坦克殺手-a-10-tank-killer-ver-1-5,1,38 字,軟體世界 30 p.11 新 A-10 坦克殺手 (A-10 Tank Killer Ver 1.5)
,cmsyrzhab000604jxnebula02,新A-10 坦克殺手 (A-10 Tank killer Ver 1.5),新a-10-坦克殺手-a-10-tank-killer-ver-1-5,1,37 字,軟體世界 31 p.4 新A-10 坦克殺手
,cmtpl78eh08ql04jv4oaonbua,"新世紀エウ "" アンゲリオン ～鋼鐵のガールフレンド",新世紀-鋼鐵,1,26 字,軟體世界 102 p.81 GAME FOCUS
,cmsys39q8005604jx7ue3hn43,新宇宙傳奇 I (Space Quest I: Roger Wilco in the Sarien Encounter),新宇宙傳奇-i-space-quest-i-roger-wilco-in-the-sarien-encounter,1,60 字,軟體世界 32 p.4 新宇宙傳奇 I
,cmsyrh833003r04lfaci7bas2,新幻想空間 I (Leisure Suit Larry in the Land of the Lounge Lizards),新幻想空間-i-leisure-suit-larry-in-the-land-of-the-lounge-lizards,3,62 字,軟體世界 30 p.10 新幻想空間 I (Leisure Suit Larry in the Land of the Lounge Lizards) / 軟體世界 31 p.7 新幻想空間 I / 軟體世界 31 p.58 新幻想空間 I 特別報導
,cmsys39s7005a04jx1aydkt1o,明星職棒 (Tony LaRuSa's Ultimate Baseball),明星職棒-tony-larusa-s-ultimate-baseball,1,38 字,軟體世界 32 p.6 明星職棒
,cmsyrzhfy000s04jxtcwyugt3,明星職棒 (Tony LaRussa Baseball),明星職棒-tony-larussa-baseball,1,28 字,軟體世界 31 p.12 明星職棒
,cmt9n7n5p00bb04jmin567nxn,暗黑傳說 (Prophecy of the Shadow),暗黑傳說-prophecy-of-the-shadow,1,29 字,軟體世界 41 p.20 暗黑傳說
,cmu097of900050agmlv22vws9,柏青哥天堂3D 大海物語2 ～柏青哥風雲錄・花 希望與背叛的校園生活,柏青哥天堂3d-大海物語2-柏青哥風雲錄-花-希望與背叛的校園生活,1,34 字,電玩通 378 p.118 新作情報快遞
,cmtzt660i00g60agm8pf9glbc,柏青哥天堂3D 豪華海物語 ～職業柏青哥風雲錄・花 孤島上的賭徒們～,柏青哥天堂3d-豪華海物語-職業柏青哥風雲錄-花-孤島上的賭徒們,2,34 字,電玩通 414 p.96 新作情報快遞 / 電玩通 420 p.102 新作情報快遞
,cmt9n7n2a00ak04jmt7z0q67y,橋藝大師 (Omar Sharif On Bridge),橋藝大師-omar-sharif-on-bridge,1,28 字,軟體世界 41 p.13 橋藝大師
,cmsyrzhmr002504jxrl32wbto,武士傳說 (The Warrior's Blade),武士傳說-the-warrior-s-blade,1,26 字,軟體世界 31 p.52 武士傳說物品 & 武器修改法
,cmsyrzhod002h04jx3zcbjfz9,死亡潛航 II (Submarine Titan II),死亡潛航-ii-submarine-titan-ii,1,28 字,軟體世界 31 p.54 死亡潛航 II 一魚雷精準命中
,cmtztluxb000f0agmbw6wiv5o,深紅帝國 ～Circumstances to serve a noble～,深紅帝國-circumstances-to-serve-a-noble,1,37 字,電玩通 340 p.109 新作情報快遞
,cmsysv1kk000h04joxf4n24t1,火星大懸案 (Martian Memorandum),火星大懸案-martian-memorandum,1,26 字,軟體世界 33 p.8 火星大懸案
,cmtpk4x3000y704jvd5s6rkpk,現代模擬系列 大海戰 1939-43 北大西洋篇 Advanced Simulator Series Great Naval Battle North Atlantic,現代模擬系列-大海戰-1939-43-北大西洋篇-advanced-simulator-series-great-naval-battle-north-atlantic,1,84 字,軟體世界 54 p.11 強片預告
,cmsyrzhh9001104jxqlnt2tjg,異城之門 (Gateway to the Savage Frontier),異城之門-gateway-to-the-savage-frontier,1,37 字,軟體世界 31 p.16 異城之門
,cmsys39pv005204jx4u8yjfjr,異域之門 (Gateway to the Savage Frontier),異域之門-gateway-to-the-savage-frontier,1,37 字,軟體世界 32 p.1 異域之門
,cmtzt50d5009r0agmaa7gfh5u,白騎士物語 episode.portable 教義戰爭,白騎士物語-episode-portable-教義戰爭,1,27 字,電玩通 328 p.119 白騎士物語 episode.portable 教義戰爭
,cmsx2xzo800b604lda54xriul,百戰百勝電玩篇 (Future Classics Collection),百戰百勝電玩篇-future-classics-collection,1,36 字,軟體世界 17 p.10 百戰百勝電玩篇
,cmtztluxj000g0agmdkkbfuh0,糖果島的彼得潘 ～Sweet Never Land～,糖果島的彼得潘-sweet-never-land,1,26 字,電玩通 340 p.109 新作情報快遞
,cmsyrh85r004504lfjqlp7vpm,納粹飛行秘史 (The Secret Weapons of the Luftwaffe),納粹飛行秘史-the-secret-weapons-of-the-luftwaffe,4,44 字,軟體世界 30 p.13 納粹飛行秘史 (The Secret Weapons of the Luftwaffe) / 軟體世界 31 p.11 納粹飛行秘史 / 軟體世界 32 p.12 納粹飛行秘史 …共 4 篇
,cmsx2xzsd00c604ldjt1zwl6y,紗之器 (The Legend of the Mystical Ninja),紗之器-the-legend-of-the-mystical-ninja,1,38 字,軟體世界 17 p.28 紗之器完全攻略
,cmtpk4j0800u504jv4nrqxmlh,經典的皇撲克 Hoyle Classic Card Games,經典的皇撲克-hoyle-classic-card-games,1,31 字,軟體世界 53 p.4 NEW FILES
,cmta7yv1z001n04kz9k1qnm12,美德試煉場 Ultima VI: FORGE OF VIRTUE,美德試煉場-ultima-vi-forge-of-virtue,0,32 字,
,cmsybokb1007p04l2dhkf5oqr,聖戰奇兵 (Conan the Barbarian),聖戰奇兵-conan-the-barbarian,1,26 字,軟體世界 22 p.92 聖戰奇兵動作版防彈衣篇
,cmsybv6dd009z04l22da7ll4i,英雄傳奇 II—烈火神兵 (Trial by Fire),英雄傳奇-ii-烈火神兵-trial-by-fire,1,28 字,軟體世界 23 p.6 英雄傳奇 II—烈火神兵
,cmt9n7n2u00ao04jmit35ipyr,蘿拉推理系列—匕首疑雲 (The Dagger of Amon Ra),蘿拉推理系列-匕首疑雲-the-dagger-of-amon-ra,1,35 字,軟體世界 41 p.14 蘿拉推理系列—匕首疑雲
,cmsx2xznr00b204ldnatmw6qd,"蝙蝠俠 (Batman, The Caped Crusader)",蝙蝠俠-batman-the-caped-crusader,1,32 字,軟體世界 17 p.8 蝙蝠俠
,cmsybok5n006004l29xpo1mx3,親愛的，我被電視吸走了！ (Altered Destiny),親愛的-我被電視吸走了-altered-destiny,1,30 字,軟體世界 22 p.16 親愛的，我被電視吸走了！
,cmsys39v4006104jx38ktkl0c,警察故事 III (Police Quest 3: The Kindred),警察故事-iii-police-quest-3-the-kindred,1,38 字,軟體世界 32 p.15 警察故事 III
,cmsysv1nh001104jo16tjpskt,警察故事3—陰謀 (Police Quest 3: The Kindred),警察故事3-陰謀-police-quest-3-the-kindred,1,38 字,軟體世界 33 p.14 警察故事3—陰謀
,cmsybok0v004s04l2zqcsonzb,通天蜘蛛人 (The Amazing Spider-Man),通天蜘蛛人-the-amazing-spider-man,1,30 字,軟體世界 22 p.1 通天蜘蛛人
,cmsyrzhgk000w04jxapcme1ye,銀河飛將 II (Wing Commander II),銀河飛將-ii-wing-commander-ii,2,27 字,軟體世界 31 p.13 銀河飛將 II / 軟體世界 32 p.87 銀河飛將 II 特別報導
,cmsys39te005i04jx0qv4ifjs,銀河飛將 II (Wing Commander II: Vengeance of the Kilrathi),銀河飛將-ii-wing-commander-ii-vengeance-of-the-kilrathi,1,54 字,軟體世界 32 p.8 銀河飛將 II
,cmt9n7n1e00af04jm592gkexf,銀河飛將 II—帝國逆襲：特別任務 2 (Wing Commander II),銀河飛將-ii-帝國逆襲-特別任務-2-wing-commander-ii,2,39 字,軟體世界 41 p.12 銀河飛將 II—帝國逆襲：特別任務 2 / 軟體世界 41 p.84 銀河飛將 II—帝國逆襲：特別任務 2
,cmsybv6ca009r04l209k7zgcw,銀河飛將—密秘任務 (Wing Commander - Secret Mission),銀河飛將-密秘任務-wing-commander-secret-mission,1,43 字,軟體世界 23 p.1 銀河飛將—密秘任務
,cmsx2xzp700be04lds8zt31uu,銀色匕首之謎 (Secret of Silver Blade),銀色匕首之謎-secret-of-silver-blade,2,31 字,軟體世界 17 p.12 銀色匕首之謎 / 軟體世界 17 p.21 銀色匕首之謎
,cmsysv1li000l04jobmf1znjl,雪山競技 (The Games: Winter Challenge),雪山競技-the-games-winter-challenge,1,34 字,軟體世界 33 p.9 雪山競技
,cmu84x58d00b704ihsxcek4hu,電腦戰機バ・チャロン Oratorio Tangram,電腦戰機-oratorio-tangram,1,27 字,電擊SEGA SATURN 試刊9號 p.136 電腦戰機バ・チャロン Oratorio Tangram
,cmsys3a3r008b04jxo5fhi9lc,飛越杜鵑窩 (One Flew Over the Cuckoo's Nest),飛越杜鵑窩-one-flew-over-the-cuckoo-s-nest,1,39 字,軟體世界 32 p.104 飛越杜鵑窩一時光倒流
,cmsyrh86q004f04lfuhplexaw,魔戒少年 II (The Lord of The Rings: VOL. II The Two Towers),魔戒少年-ii-the-lord-of-the-rings-vol-ii-the-two-towers,1,55 字,軟體世界 30 p.15 魔戒少年 II (The Lord of The Rings: VOL. II The Two Towers)
,cmt9n7n5f00b804jmgzeszhal,魔水晶 (The Four Crystals of Trazere),魔水晶-the-four-crystals-of-trazere,1,34 字,軟體世界 41 p.19 魔水晶
