issue,platform_printed,platform_tag,name,pages
184,Xbox 360,Xbox 360,荒野雙蛟龍,31
184,Xbox 360,Xbox 360,偶像大師 Live For you!,32
184,Wii,Wii,可愛賽車Wii,32
184,Wii,Wii,全日本貨櫃車祭典,33
184,Wii,Wii,獨家釣法！ 釣鱸大賽,33
184,Wii,Wii,SIMPLE Wii系列 Vol.5 THE 打磚塊 ～附自製關卡功能～,34
184,Wii,Wii,SIMPLE Wii系列 Vol.6 THE 歡樂大決戰,34
184,Wii,Wii,任天堂明星大亂鬥X,60
184,Wii,Wii,惡靈古堡0,112
184,Wii,Wii,動物異想天開！ ～神秘樂園狂拍獨家照！～,113
184,NINTENDO DS,NDS,鋼彈的徽章,11
184,NINTENDO DS,NDS,靈光守護者,35
184,NINTENDO DS,NDS,超劇場版KERORO軍曹3 天空大冒險,35
184,NINTENDO DS,NDS,赤川次郎推理劇 夜想曲,36
184,NINTENDO DS,NDS,DS電擊文庫ADV 大騷動BACCANO！,36
184,NINTENDO DS,NDS,世界樹的迷宮II 諸王聖杯,66
184,NINTENDO DS,NDS,茶犬的房間DS3,109
184,NINTENDO DS,NDS,虛擬空間生活 山羊村DS,109
184,NINTENDO DS,NDS,里克與約翰 ～消失的兩幅圖～,109
184,NINTENDO DS,NDS,藍龍PLUS,110
184,PlayStation Portable,PSP,MyStylist,95
184,PlayStation Portable,PSP,無限回廊 echochrome,98
184,PlayStation Portable,PSP,CLANNAD,113
185,PlayStation2,PS2,吉他英雄3,24;94
185,PlayStation2,PS2,信長之野望・革新 with 威力加強版,24
185,PlayStation2,PS2,奈落之城 一柳和的第2次蒙難,25
185,PlayStation2,PS2,瑪那鍊金術2 ～沒落學園與鍊金術士們～,90
185,PlayStation2,PS2,節奏DJ II DX 14 GOLD,113
185,PLAYSTATION3,PS3,吉他英雄3,25;94
185,PLAYSTATION3,PS3,人中之龍 見參！,26;51
185,PLAYSTATION3,PS3,無間特攻,26
185,PLAYSTATION3,PS3,魔界戰記3,68
185,PLAYSTATION3,PS3,恐龍獵人,81
185,PLAYSTATION3,PS3,METAL GEAR ONLINE,84
185,PLAYSTATION3,PS3,黑暗戰區,86
185,Xbox 360,Xbox 360,怒首領蜂 大往生 黑標X（暫定）,12
185,Xbox 360,Xbox 360,決心 ～羈絆地獄群～X（暫定）,14
185,Xbox 360,Xbox 360,無間特攻,26
185,Xbox 360,Xbox 360,恐龍獵人,81
185,Xbox 360,Xbox 360,黑暗戰區,86
185,Wii,Wii,銀河戰士PRIME 3 墮落,27
185,Wii,Wii,家庭騎師,27;92
185,Wii,Wii,信長之野望・革新 with 威力加強版,28
185,Wii,Wii,大家的常識力電視,28
185,Wii,Wii,EA遊樂場,29
185,Wii,Wii,職棒家庭棒球場,93
185,Wii,Wii,吉他英雄3,94
185,Wii,Wii,瑪莉歐賽車Wii,104
185,Wii,Wii,林克的十字弓訓練＋Wii槍管,108
185,Wii,Wii,家庭訓練機,113
185,NINTENDO DS,NDS,哆啦A夢 大雄與綠巨人傳DS,29
185,NINTENDO DS,NDS,花與太陽與雨 -無盡的樂園-,30
185,NINTENDO DS,NDS,英檢王 2級篇,30
185,NINTENDO DS,NDS,益智拼圖DS 世界遺產之旅,30
185,NINTENDO DS,NDS,世界樹的迷宮II 諸王聖杯,64
185,NINTENDO DS,NDS,我們是化石挖掘者,109
185,NINTENDO DS,NDS,渥太利亞迷宮,112
185,NINTENDO DS,NDS,SuperLite2500 猜謎之旅～鐵路旅情篇～（暫定）,112
185,NINTENDO DS,NDS,戲劇性迷宮 櫻花大戰 ～因為有你～,120
185,PlayStation Portable,PSP,軍神 奧林帕斯的鎖鏈,9
185,PlayStation Portable,PSP,魔物獵人PORTABLE 2nd,38
185,PlayStation Portable,PSP,改造大冒險 機動器對戰錦標賽,114
185,PlayStation Portable,PSP,魔物獵人PORTABLE 2nd G,116
185,PlayStation Portable,PSP,STAR OCEAN Second Evolution,118
185,ARCADE,Arcade,聖靈之心2,78
193,PlayStation2,PS2,無雙OROCHI 蛇魔再臨,40
193,PlayStation2,PS2,惡霸魯尼,72
193,PlayStation2,PS2,職棒大聯盟2K8,74
193,PlayStation2,PS2,星艦迷航記：征服,75
193,PlayStation2,PS2,瑪那鍊金術2 ～沒落學園與鍊金術士們～,82
193,PlayStation2,PS2,侍魂 六合一對決,102
193,PlayStation2,PS2,Real Rode,105
193,PlayStation2,PS2,神曲奏界 THE BLACK,105
193,PlayStation2,PS2,女神異聞錄4,116
193,PLAYSTATION3,PS3,交錯刀鋒,10
193,PLAYSTATION3,PS3,戰場女武神,51
193,PLAYSTATION3,PS3,異塵餘生3,70
193,PLAYSTATION3,PS3,職棒大聯盟2K8,74
193,PLAYSTATION3,PS3,功夫熊貓,101
193,PLAYSTATION3,PS3,破相拳擊（暫定）,101
193,PLAYSTATION3,PS3,北京奧運2008,105
193,Xbox 360,Xbox 360,黑暗戰區,66
193,Xbox 360,Xbox 360,異塵餘生3,70
193,Xbox 360,Xbox 360,惡霸魯尼,72
193,Xbox 360,Xbox 360,星艦迷航記：遺產,75
193,Xbox 360,Xbox 360,破相拳擊（暫定）,101
193,Xbox 360,Xbox 360,北京奧運2008,105
193,Wii,Wii,涼宮春日的憂鬱（暫定）,7
193,Wii,Wii,功夫熊貓,101
193,Wii,Wii,電視節目王～目標是猜謎王～（暫定）,101
193,Wii,Wii,侍魂 六合一對決,102
193,Wii,Wii,不可思議的迷宮 風塵英雄3 -機關宅邸的睡美人-,112
193,Wii,Wii,國王故事,114
193,NINTENDO DS,NDS,樂園密碼,12
193,NINTENDO DS,NDS,便利商店DS 經營力訓練,14
193,NINTENDO DS,NDS,鋼彈的徽章,45
193,NINTENDO DS,NDS,弧光之源2 意志,76
193,NINTENDO DS,NDS,模擬職棒,78
193,NINTENDO DS,NDS,東京魔人學園劍風帖,80
193,NINTENDO DS,NDS,三國志大戰・天,84
193,NINTENDO DS,NDS,閃電足球隊,86
193,NINTENDO DS,NDS,功夫熊貓,101
193,NINTENDO DS,NDS,越南大戰7,102
193,NINTENDO DS,NDS,偶像小狗 綜藝頻道,102
193,NINTENDO DS,NDS,小芝麻2 ～我家孩子最棒！～,102
193,NINTENDO DS,NDS,飛空格鬥,102
193,NINTENDO DS,NDS,茜色氣息,102
193,NINTENDO DS,NDS,定格攝影小貓DS,103
193,NINTENDO DS,NDS,特定！瘦身塾,103
193,NINTENDO DS,NDS,凱蒂貓的貓熊運動場,103
193,NINTENDO DS,NDS,鐵道娘DS（暫定）,103
193,NINTENDO DS,NDS,以橫軸學世界歷史DS,103
193,NINTENDO DS,NDS,出包王女 森林學校篇,105
193,NINTENDO DS,NDS,模擬天神,105
193,NINTENDO DS,NDS,FRONT MISSION 2089 Border of Madness,106
193,NINTENDO DS,NDS,DRAGON QUEST V,108
193,NINTENDO DS,NDS,暮蟬鳴泣時之羈絆 第一卷・崇,120
193,PlayStation Portable,PSP,閃電霹靂車VS,16
193,PlayStation Portable,PSP,魔物獵人PORTABLE 2nd G,57
193,PlayStation Portable,PSP,職棒大聯盟2K8,74
193,PlayStation Portable,PSP,大家來讀書 名作＆推理＆怪談＆文學,103
193,PlayStation Portable,PSP,PC Engine精選集 銀河少女傳說合輯,104
193,PlayStation Portable,PSP,PC Engine精選集 天外魔境合輯,104
284,NINTENDO DS,NDS,學生會的一存 -DS學生會-,23
284,NINTENDO DS,NDS,大眾水族館,23
284,NINTENDO DS,NDS,職棒家庭棒球場DS 2010,23
284,NINTENDO DS,NDS,職業摔角檢定DS,24
284,NINTENDO DS,NDS,自然發音英語學習法,24
284,NINTENDO DS,NDS,LOVE PLUS＋,29
284,NINTENDO DS,NDS,精心策略大模擬 客廳職棒DS 2010年度版,81
284,NINTENDO DS,NDS,DRAGON QUEST VI: Realms of Reverie,84
284,NINTENDO DS,NDS,世界樹迷宮III 星海來訪者,88
284,NINTENDO DS,NDS,超級機器人大戰OG傳奇 魔裝機神,91
284,NINTENDO DS,NDS,模擬足球DS 世界挑戰賽2010,94
284,NINTENDO DS,NDS,圈套 DS版～攜人犯藏身處,108
284,NINTENDO DS,NDS,玩具總動員3,108
284,NINTENDO DS,NDS,DRAGON QUEST MONSTERS-Joker 2,116
284,NINTENDO DS,NDS,坦克戰記3,120
284,PlayStation Portable,PSP,天才麻將少女Portable,24
284,PlayStation Portable,PSP,天降之物 -動心的暑假-,25
284,PlayStation Portable,PSP,夜行偵探The 1st 連環錯誤,25
284,PlayStation Portable,PSP,愛在五月1＋2,25
284,PlayStation Portable,PSP,維他命Z Revolution,26
284,PlayStation Portable,PSP,普利尼2 ～特攻遊戲！拂曉的內褲大作戰！～,26
284,PlayStation Portable,PSP,天神亂漫 Happy Go Lucky!!,26
284,PlayStation Portable,PSP,METAL GEAR SOLID PEACE WALKER,41
284,PlayStation Portable,PSP,鋼彈突擊求生戰,65
284,PlayStation Portable,PSP,武裝神姬 戰鬥群英,108
284,PlayStation Portable,PSP,HELLO KITTY打磚塊123!!,109
284,PlayStation Portable,PSP,運籌決戰,109
284,PlayStation Portable,PSP,職棒野球魂2010,118
284,Wii,Wii,赤色鋼鐵2,109
284,PlayStation3,PS3,柏青哥天堂15～超級海IN沖繩2～,27
284,PlayStation3,PS3,北斗無雙,27;47
284,PlayStation3,PS3,GOD OF WAR III,27
284,PlayStation3,PS3,虛擬實戰網球 實況對決！,28
284,PlayStation3,PS3,人中之龍4 傳說繼承者,62
284,PlayStation3,PS3,GOD OF WAR III,73
284,PlayStation3,PS3,鍊金術士托托莉 ～亞蘭德的鍊金術士2～,110
284,PlayStation3,PS3,蒼翼默示錄 連續變幻,110
284,PlayStation3,PS3,黑光：目標擊斃,111
284,PlayStation3,PS3,正當防衛2,112
284,PlayStation3,PS3,職棒野球魂2010,118
284,PlayStation2,PS2,花與少女的祝福（暫定）,111
284,PlayStation2,PS2,柏青哥必殺仕事人III 祭典版 武士頭高手16,111
284,PlayStation2,PS2,職棒野球魂2010,118
284,Xbox 360,Xbox 360,北斗無雙,28;47
284,Xbox 360,Xbox 360,渾沌思緒 熱戀親親！,28
284,Xbox 360,Xbox 360,亡靈殺手 煉獄的亡靈,106
284,Xbox 360,Xbox 360,蒼翼默示錄 連續變幻,110
284,Xbox 360,Xbox 360,黑光：目標擊斃,111
284,Xbox 360,Xbox 360,強襲魔女 白銀之翼,111
284,Xbox 360,Xbox 360,正當防衛2,112
284,Xbox 360,Xbox 360,縱橫諜海：罪證,114
316,NINTENDO DS,NDS,維新風暴 疾風龍馬傳,38
316,NINTENDO DS,NDS,音速小子 繽紛色彩,38
316,NINTENDO DS,NDS,續星際寶貝史迪奇DS 節奏塗鴉大作戰,38
316,NINTENDO DS,NDS,超級化石挖掘者,39
316,NINTENDO DS,NDS,光輝戰史,74
316,NINTENDO DS,NDS,FAIRY TAIL 魔導少年 原創故事 決戰大聖堂,90
316,NINTENDO DS,NDS,戰鬥陀螺 鋼鐵戰魂 絕頂對決！大霹靂盃陀螺戰士全球大賽,90
316,NINTENDO DS,NDS,不可思議的迷宮 風塵英雄5 命途塔與命運骰子,92
316,NINTENDO DS,NDS,逆轉檢事2,98
316,PlayStation Portable,PSP,魔物獵人PORTABLE 3rd,11
316,PlayStation Portable,PSP,DISSIDIA duodecim FINAL FANTASY,16
316,PlayStation Portable,PSP,The 3rd Birthday,22
316,PlayStation Portable,PSP,WORLD SOCCER Winning Eleven 2011,39
316,PlayStation Portable,PSP,必勝柏青哥★柏青嫂攻略系列Portable Vol.2 CR福音戰士～福音初現～,39
316,PlayStation Portable,PSP,問題少女組,40
316,PlayStation Portable,PSP,Tactics Ogre 運命の輪,60
316,PlayStation Portable,PSP,噬神戰士 神機解放,76
316,PlayStation Portable,PSP,白騎士物語 episode・portable 教義戰爭,82
316,PlayStation Portable,PSP,維他命 XtoZ,90
316,PlayStation Portable,PSP,Are you Alice？,91
316,PlayStation Portable,PSP,鍊金術士薇歐菈特 ～葛拉姆奈特的鍊金術士2～綻藍回憶,91
316,PlayStation Portable,PSP,DJ MAX PORTABLE,91
316,PlayStation Portable,PSP,勁歌貴公子 -Amasing Aria-,91
316,PlayStation Portable,PSP,夢幻之星PORTABLE 2 無窮進化,100
316,Wii,Wii,音速小子 繽紛色彩,40
316,Wii,Wii,超級粉碎球PLUS 內附Wii動感強化器,40
316,Wii,Wii,夢幻終章,102
316,PlayStation3,PS3,亞迦雷斯特戰記2,41
316,PlayStation3,PS3,The Fight: Lights Out（中英文合版）,41
316,PlayStation3,PS3,熱烈柏青魂「CR福音戰士～福音初現～」,41
316,PlayStation3,PS3,決勝時刻：暗黑行動,67
316,PlayStation3,PS3,COMET CRASH,91
316,PlayStation3,PS3,小小大星球2,94
316,PlayStation3,PS3,MARVEL VS. CAPCOM 3 兩個世界的命運,96
316,PlayStation3,PS3,人中之龍 OF THE END,106
316,PlayStation3,PS3,鋼彈無雙3,108
316,PlayStation3,PS3,凱薩琳,112
316,Xbox 360,Xbox 360,熱舞進化,42
316,Xbox 360,Xbox 360,音速小子 隨心滑行,42
316,Xbox 360,Xbox 360,新體感腦力鍛鍊,42
316,Xbox 360,Xbox 360,Kinect大冒險,43
316,Xbox 360,Xbox 360,Kinect運動大會,43
316,Xbox 360,Xbox 360,決勝時刻：暗黑行動,67
316,Xbox 360,Xbox 360,ESCHATOS,91
316,Xbox 360,Xbox 360,MARVEL VS. CAPCOM 3 兩個世界的命運,96
316,Xbox 360,Xbox 360,鋼彈無雙3,108
316,Xbox 360,Xbox 360,凱薩琳,112
316,Xbox 360,Xbox 360,偶像大師2,114
316,PlayStation2,PS2,神曲奏界 續傳,43
317,NINTENDO DS,NDS,高橋書店監修 SPI完美題庫DS 2012年度版,43
317,NINTENDO DS,NDS,DS-PICO系列 Sanrio彩虹樂園 快樂購物 裝飾美妙房間,43
317,NINTENDO DS,NDS,歷史大戰 天下第一大混戰,43
317,NINTENDO DS,NDS,扮神弄鬼一起來,44
317,NINTENDO DS,NDS,考上檢定！TAC公務員考試,44
317,NINTENDO DS,NDS,黃金太陽 漆黑黎明,84
317,NINTENDO DS,NDS,蒼空騎士 ～飛向CODA～,86
317,NINTENDO DS,NDS,角色快拍! 湯瑪斯小火車/HELLO KITTY,102
317,NINTENDO DS,NDS,技術評論社監修 基本情報技術者DS,102
317,NINTENDO DS,NDS,第二國度 漆黑魔導士,109
317,NINTENDO 3DS,3DS,超級猴子球3D（暫定）,102
317,PlayStation Portable,PSP,魔物獵人PORTABLE 3rd,5
317,PlayStation Portable,PSP,最後約定的故事,26
317,PlayStation Portable,PSP,黑岩射手（暫定）,29
317,PlayStation Portable,PSP,雅戀 ～MIYAKO～,44
317,PlayStation Portable,PSP,真・戀姬夢想 ～少女繚亂～☆三國志演義～ 蜀篇,45
317,PlayStation Portable,PSP,槍彈辯駁 希望校園與絕望高中生,45
317,PlayStation Portable,PSP,維新戀華 龍馬外傳,45
317,PlayStation Portable,PSP,兵器之心,46
317,PlayStation Portable,PSP,nikoli數獨＋2第一集 ～數獨、塗壁、分房間～,46
317,PlayStation Portable,PSP,Little Busters！Converted Edition,46
317,PlayStation Portable,PSP,Tactics Ogre 運命の輪,88
317,PlayStation Portable,PSP,KINGDOM HEARTS Birth by Sleep FINAL MIX,100
317,PlayStation Portable,PSP,神劍闖江湖-明治劍客浪漫譚-再閃,102
317,PlayStation Portable,PSP,PERSONA2 罪,108
317,Wii,Wii,麵包超人 微笑派對,47
317,Wii,Wii,瑪利歐綜合運動會,47
317,Wii,Wii,大金剛再起,118
317,PlayStation3,PS3,TRINITY Zill O'll Zero,47;66
317,PlayStation3,PS3,世界最強銀星圍棋 複合式蒙特卡羅引擎,48
317,PlayStation3,PS3,柏青哥天堂16 ～閃亮天堂2～,48
317,PlayStation3,PS3,跑車浪漫旅5（繁體中文版）,48
317,PlayStation3,PS3,決勝時刻：暗黑行動,72
317,PlayStation3,PS3,幻想西遊記,76
317,PlayStation3,PS3,征服者,78
317,PlayStation3,PS3,火影忍者 疾風傳 終極風暴2,80
317,PlayStation3,PS3,騎士傳說 戰略版,103
317,PlayStation3,PS3,北斗無雙 國際版,103
317,PlayStation3,PS3,魔人傳說 沒落帝國,104
317,PlayStation3,PS3,戰國無雙3 Z,106
317,PlayStation3,PS3,幻境神界,116
317,Xbox 360,Xbox 360,怒首領蜂大復活,49
317,Xbox 360,Xbox 360,決勝時刻：暗黑行動,72
317,Xbox 360,Xbox 360,幻想西遊記,76
317,Xbox 360,Xbox 360,征服者,78
317,Xbox 360,Xbox 360,火影忍者 疾風傳 終極風暴2,80
317,Xbox 360,Xbox 360,神鬼寓言3,82
317,Xbox 360,Xbox 360,魔人傳說 沒落帝國,104
317,Xbox 360,Xbox 360,幻境神界,116
317,PlayStation2,PS2,CLOCK ZERO ～最後一秒～,49
317,PlayStation2,PS2,潘朵拉 ～名誌吾心～,49
321,NINTENDO DS,NDS,DRAGON QUEST MONSTERS-Joker 2 PROFESSIONAL,16
321,NINTENDO DS,NDS,不可思議的迷宮 風塵英雄5 命途塔與命運骰子,72
321,NINTENDO DS,NDS,逆轉檢事2,92
321,NINTENDO DS,NDS,SaGa3 時空の霸者 Shadow or Light,94
321,NINTENDO 3DS,3DS,戰國無雙 編年史,84
321,PlayStation Portable,PSP,KINGDOM HEARTS Birth by Sleep FINAL MIX,18
321,PlayStation Portable,PSP,DISSIDIA duodecim FINAL FANTASY,20
321,PlayStation Portable,PSP,FINAL FANTASY IV Complete Collection,29
321,PlayStation Portable,PSP,The 3rd Birthday,53
321,PlayStation Portable,PSP,光明之心,62
321,PlayStation Portable,PSP,最後約定的故事,86
321,PlayStation Portable,PSP,喧嘩番長5 男子漢法則,88
321,PlayStation Portable,PSP,夢幻之星PORTABLE 2 無窮進化,96
321,PlayStation Portable,PSP,戰場女武神3,100
321,Wii,Wii,大金剛再起,68
321,PlayStation3,PS3,無盡傳奇,9
321,PlayStation3,PS3,侍道4,37
321,PlayStation3,PS3,幻境神界,42
321,PlayStation3,PS3,鋼彈無雙3,46
321,PlayStation3,PS3,空戰奇兵 突擊地平線,90
321,PlayStation3,PS3,人中之龍 OF THE END,102
321,PlayStation3,PS3,凱薩琳,106
321,PlayStation3,PS3,真・三國無雙6,110
321,Xbox 360,Xbox 360,幻境神界,42
321,Xbox 360,Xbox 360,鋼彈無雙3,46
321,Xbox 360,Xbox 360,空戰奇兵 突擊地平線,90
321,Xbox 360,Xbox 360,凱薩琳,106
321,Xbox 360,Xbox 360,偶像大師2,108
324,NINTENDO DS,NDS,瑪利歐vs.大金剛 突擊！迷你樂園,82
324,NINTENDO DS,NDS,桃太郎電鐵 世界篇,84
324,NINTENDO DS,NDS,第二國度 漆黑魔導士,86
324,NINTENDO DS,NDS,閃電十一人3 挑戰世界!! 魔獸版,88
324,NINTENDO DS,NDS,殭屍大進擊,100
324,NINTENDO DS,NDS,只想告訴你 ～傳達心意～,108
324,NINTENDO DS,NDS,逆轉檢事2,118
324,NINTENDO 3DS,3DS,天空機士羅迪亞,12
324,NINTENDO 3DS,3DS,鋼彈3D對戰,39
324,NINTENDO 3DS,3DS,病毒射手XX,109
324,NINTENDO 3DS,3DS,蒼翼默示錄 連續變幻II,109
324,NINTENDO 3DS,3DS,戰國無雙 編年史,110
324,PlayStation Portable,PSP,秋葉原歷險,9
324,PlayStation Portable,PSP,DISSIDIA duodecim FINAL FANTASY,30
324,PlayStation Portable,PSP,SD鋼彈G世代 新世界,42
324,PlayStation Portable,PSP,超時空要塞 三角邊疆,44
324,PlayStation Portable,PSP,異世紀大戰Portable,46
324,PlayStation Portable,PSP,戰場女武神3,59
324,PlayStation Portable,PSP,KINGDOM HEARTS Birth by Sleep FINAL MIX,68
324,PlayStation Portable,PSP,魔物獵人PORTABLE 3rd,72
324,PlayStation Portable,PSP,The 3rd Birthday,78
324,PlayStation Portable,PSP,光明之心,90
324,PlayStation Portable,PSP,S.Y.K ～蓮咲傳～ Portable,108
324,PlayStation Portable,PSP,來世因緣 後續回憶,108
324,PlayStation Portable,PSP,華麗一族 拚繪寫真,109
324,PlayStation Portable,PSP,冬宮Original ～闇之巫女與諸神之戒指～,109
324,PlayStation Portable,PSP,戰鼓啪打碰3,112
324,PlayStation Portable,PSP,世界傳奇 閃耀神話3,120
324,Wii,Wii,天空機士羅迪亞,12
324,Wii,Wii,異星尋奇,36
324,Wii,Wii,SD鋼彈G世代 新世界,42
324,Wii,Wii,夢幻終章,50
324,PlayStation3,PS3,FINAL FANTASY XIV,93
324,PlayStation3,PS3,殺戮地帶3,96
324,PlayStation3,PS3,凱薩琳,98
324,PlayStation3,PS3,越野風暴3,109
324,PlayStation3,PS3,閃擊點行動三,109
324,PlayStation3,PS3,阿修羅之怒,114
324,PlayStation3,PS3,MARVEL VS. CAPCOM 3 兩個世界的命運,116
324,PlayStation3,PS3,真・三國無雙6,122
324,PlayStation3,PS3,戰國無雙3 Z,124
324,PlayStation3,PS3,絕體絕命都市4 -夏日回憶-,128
324,Xbox 360,Xbox 360,凱薩琳,98
324,Xbox 360,Xbox 360,閃擊點行動三,109
324,Xbox 360,Xbox 360,阿修羅之怒,114
324,Xbox 360,Xbox 360,MARVEL VS. CAPCOM 3 兩個世界的命運,116
324,Xbox 360,Xbox 360,偶像大師2,126
326,NINTENDO DS,NDS,逆轉檢事2,87
326,NINTENDO DS,NDS,RED STONE DS ～受紅色意志引導者～,136
326,NINTENDO DS,NDS,化妝天國～公主生活～,137
326,NINTENDO DS,NDS,名偵探科南 藍寶石迴旋曲,137
326,NINTENDO 3DS,3DS,深淵傳奇,18
326,NINTENDO 3DS,3DS,鋼彈3D對戰,58
326,NINTENDO 3DS,3DS,火影忍者 疾風傳 忍立體繪卷！ 最強忍界決戰!!,134
326,NINTENDO 3DS,3DS,職棒家庭棒球場2011,135
326,NINTENDO 3DS,3DS,nikoli數獨3D ～8種猜謎1000題～,136
326,NINTENDO 3DS,3DS,小精靈＆大蜜蜂 新次元,138
326,NINTENDO 3DS,3DS,實感賽車3D,144
326,NINTENDO 3DS,3DS,生死格鬥 新次元,146
326,PlayStation Portable,PSP,模擬J聯盟足球7 EURO PLUS,22
326,PlayStation Portable,PSP,DISSIDIA duodecim FINAL FANTASY,46
326,PlayStation Portable,PSP,最後約定的故事,52
326,PlayStation Portable,PSP,超時空要塞 三角邊疆,60
326,PlayStation Portable,PSP,SD鋼彈G世代 新世界,68
326,PlayStation Portable,PSP,戰場女武神3,72
326,PlayStation Portable,PSP,KINGDOM HEARTS Birth by Sleep FINAL MIX,78
326,PlayStation Portable,PSP,白騎士物語 episode.portable 教義戰爭,80
326,PlayStation Portable,PSP,魔物獵人PORTABLE 3rd,100
326,PlayStation Portable,PSP,SNK經典大型電玩合輯 ZERO,133
326,PlayStation Portable,PSP,nikoli數獨+3 第三集 ～數獨、數迴、數珠、數輪～,136
326,PlayStation Portable,PSP,30秒勇者 SECOND,140
326,PlayStation Portable,PSP,高校狂師,148
326,PlayStation Portable,PSP,夢幻之星PORTABLE 2 無窮進化,154
